Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.7968	0.7875	
bq0028.jpg	0.7500	0.8929	
bq0022.jpg	0.4000	0.4341	
bq0089.jpg	0.6667	0.7381	
bq0144.jpg	0.5000	0.5858	
bq0152.jpg	1.0000	1.0000	
bq0041.jpg	1.0000	1.0000	
bq0146.jpg	0.2000	0.3282	
bq0076.jpg	1.0000	1.0000	
bq0047.jpg	0.6667	0.4786	
bq0073.jpg	1.0000	0.9030	
bq0121.jpg	1.0000	0.9167	
bq0066.jpg	1.0000	0.9242	
bq0037.jpg	1.0000	1.0000	
bq0054.jpg	1.0000	0.8886	
bq0004.jpg	1.0000	1.0000	
bq0142.jpg	1.0000	1.0000	
bq0070.jpg	1.0000	0.8714	
bq0109.jpg	1.0000	1.0000	
bq0126.jpg	0.6000	0.5636	
bq0006.jpg	0.3333	0.3593	
bq0015.jpg	1.0000	1.0000	
bq0067.jpg	1.0000	0.9333	
bq0025.jpg	0.6667	0.5783	
bq0018.jpg	1.0000	1.0000	
bq0148.jpg	1.0000	0.9359	
bq0091.jpg	0.7500	0.6756	
bq0090.jpg	1.0000	0.8966	
bq0033.jpg	0.7500	0.9167	
bq0101.jpg	1.0000	1.0000	
bq0149.jpg	1.0000	0.9370	
bq0128.jpg	1.0000	0.6427	
bq0007.jpg	1.0000	1.0000	
bq0053.jpg	1.0000	0.9202	
bq0049.jpg	1.0000	0.7830	
bq0098.jpg	1.0000	0.9167	
bq0035.jpg	1.0000	1.0000	
bq0030.jpg	0.6000	0.4046	
bq0027.jpg	1.0000	1.0000	
bq0141.jpg	1.0000	0.9583	
bq0017.jpg	1.0000	1.0000	
bq0119.jpg	0.4000	0.7052	
bq0034.jpg	1.0000	1.0000	
bq0117.jpg	0.6667	0.6894	
bq0110.jpg	1.0000	0.8056	
bq0068.jpg	1.0000	1.0000	
bq0051.jpg	0.6000	0.8254	
bq0078.jpg	0.4000	0.4483	
bq0111.jpg	0.6667	0.6828	
bq0115.jpg	0.8000	0.8259	
bq0145.jpg	1.0000	0.9358	
bq0143.jpg	1.0000	1.0000	
bq0097.jpg	1.0000	0.9343	
bq0029.jpg	0.5000	0.5754	
bq0132.jpg	0.8000	0.8307	
bq0081.jpg	0.2000	0.1886	
bq0012.jpg	1.0000	0.9565	
bq0086.jpg	1.0000	0.8556	
bq0039.jpg	1.0000	1.0000	
bq0147.jpg	1.0000	0.9245	
bq0079.jpg	0.2500	0.2798	
bq0151.jpg	0.8000	0.9306	
bq0014.jpg	1.0000	1.0000	
bq0116.jpg	0.6667	0.8333	
bq0016.jpg	1.0000	0.8263	
bq0032.jpg	0.6000	0.6771	
bq0087.jpg	1.0000	0.8476	
bq0138.jpg	0.2000	0.4289	
bq0093.jpg	0.6000	0.7409	
bq0103.jpg	1.0000	1.0000	
bq0008.jpg	1.0000	1.0000	
bq0009.jpg	0.7500	0.9167	
bq0071.jpg	0.6000	0.4617	
bq0094.jpg	0.2500	0.2735	
bq0046.jpg	0.6000	0.7962	
bq0095.jpg	1.0000	0.9444	
bq0106.jpg	1.0000	1.0000	
bq0011.jpg	1.0000	1.0000	
bq0031.jpg	0.8000	0.6345	
bq0050.jpg	0.8000	0.9667	
bq0136.jpg	1.0000	0.8971	
bq0100.jpg	1.0000	1.0000	
bq0059.jpg	0.2000	0.1839	
bq0130.jpg	1.0000	0.7614	
bq0137.jpg	1.0000	0.9071	
bq0019.jpg	0.6000	0.5712	
bq0038.jpg	1.0000	1.0000	
bq0133.jpg	0.8000	0.8426	
bq0123.jpg	0.2000	0.1913	
bq0134.jpg	0.7500	0.8611	
bq0105.jpg	0.6667	0.7051	
bq0099.jpg	0.6667	0.7667	
bq0058.jpg	1.0000	1.0000	
bq0065.jpg	1.0000	0.7000	
bq0118.jpg	0.4000	0.4935	
bq0085.jpg	0.3333	0.5074	
bq0020.jpg	0.8000	0.7527	
bq0088.jpg	0.2000	0.2469	
bq0150.jpg	0.8000	0.8235	
bq0023.jpg	0.4000	0.4927	
bq0061.jpg	1.0000	1.0000	
bq0043.jpg	0.6667	0.5990	
bq0055.jpg	1.0000	0.9460	
bq0127.jpg	0.7500	0.7012	
bq0062.jpg	1.0000	1.0000	
bq0096.jpg	0.8000	0.7878	
bq0010.jpg	1.0000	1.0000	
bq0135.jpg	1.0000	1.0000	
bq0042.jpg	1.0000	1.0000	
bq0005.jpg	1.0000	0.9453	
bq0044.jpg	1.0000	1.0000	
bq0140.jpg	0.8000	0.8345	
bq0074.jpg	1.0000	0.9030	
bq0114.jpg	0.4000	0.4336	
bq0131.jpg	1.0000	0.7661	
bq0040.jpg	1.0000	1.0000	
bq0108.jpg	0.4000	0.3693	
bq0056.jpg	0.6000	0.7514	
bq0072.jpg	0.8000	0.8835	
bq0075.jpg	1.0000	0.8966	
bq0013.jpg	0.7500	0.9167	
bq0060.jpg	0.8000	0.6692	
bq0104.jpg	0.7500	0.8929	
bq0048.jpg	1.0000	1.0000	
bq0045.jpg	0.8000	0.9667	
bq0052.jpg	1.0000	1.0000	
bq0113.jpg	0.8000	0.9267	
bq0125.jpg	0.6000	0.6693	
bq0122.jpg	0.4000	0.2922	
bq0026.jpg	1.0000	0.8056	
bq0024.jpg	0.3333	0.3545	
bq0077.jpg	0.6667	0.6867	
bq0057.jpg	0.6000	0.7056	
bq0083.jpg	1.0000	0.8723	
bq0139.jpg	0.6000	0.6658	
bq0036.jpg	1.0000	0.9167	
bq0082.jpg	1.0000	0.8614	
bq0124.jpg	0.6000	0.4331	
bq0153.jpg	1.0000	1.0000	
bq0107.jpg	0.6000	0.3726	
bq0112.jpg	0.8000	0.9667	
bq0084.jpg	0.6667	0.5909	
bq0102.jpg	1.0000	1.0000	
bq0064.jpg	1.0000	1.0000	
bq0092.jpg	0.6000	0.7909	
bq0129.jpg	0.8000	0.6556	
bq0063.jpg	0.3333	0.3742	
bq0120.jpg	1.0000	1.0000	
bq0021.jpg	0.7500	0.7333	
bq0069.jpg	0.4000	0.3620	
bq0080.jpg	1.0000	1.0000	
