Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.8568	0.8390	
MAKING	0.6667	0.7333	
UNDER	0.8000	0.9667	
WHOLE	1.0000	0.9762	
BOARD	1.0000	1.0000	
GARDENS	0.6000	0.7381	
AVERRHOA	1.0000	1.0000	
GARDEN	1.0000	0.9138	
CULTIVATED	0.6000	0.5661	
VALUABLE	1.0000	1.0000	
COLLECTING	0.6667	0.5752	
ITALY	0.6667	0.5850	
CALCUTTA	1.0000	1.0000	
THREE	0.7500	0.9167	
PLANTS	1.0000	0.9477	
TIMES	1.0000	1.0000	
NOT	1.0000	0.8668	
CULTIVATION	1.0000	1.0000	
FEBRUARY	0.6667	0.7667	
BUT	1.0000	0.8309	
WHERE	0.2500	0.3373	
PRODUCED	0.6667	0.6556	
CHINA	0.7500	0.9167	
DIFFERENT	1.0000	0.9167	
DIRECTED	1.0000	1.0000	
ITS	1.0000	0.9295	
PARTS	0.7500	0.8167	
COMMON	1.0000	1.0000	
PLANT	0.5000	0.4388	
CHIEF	0.8000	0.6462	
GEORGE	0.8000	0.6695	
IMPORTANCE	1.0000	1.0000	
EVERY	1.0000	1.0000	
CLIMATE	0.8000	0.8314	
FRUIT	0.8000	0.9029	
PURCHASE	1.0000	0.8667	
INDIA	1.0000	0.9208	
COUNTRIES	0.7500	0.7310	
SUMMER	0.6000	0.3918	
GOVERNMENT	1.0000	1.0000	
ATTENTION	1.0000	0.9500	
SHALL	1.0000	0.8667	
BEING	0.7500	0.9167	
BOTANICAL	1.0000	1.0000	
WATER	1.0000	1.0000	
ABOVE	1.0000	1.0000	
LETTER	1.0000	0.8718	
THERE	0.8000	0.6746	
BE	1.0000	0.9576	
FUTURE	1.0000	1.0000	
AND	1.0000	0.9435	
HONBLE	1.0000	0.9333	
EMPLOYED	0.6667	0.7778	
KNOWN	0.7500	0.6733	
SEVERAL	1.0000	1.0000	
SEASON	1.0000	0.8056	
SUBJECT	0.6667	0.7778	
DIVISION	1.0000	1.0000	
ESQRE	1.0000	1.0000	
PRESENT	0.6667	0.5556	
NATIVES	0.6667	0.6944	
INDIES	1.0000	1.0000	
CONTD	0.7500	0.9167	
SEEDS	0.6000	0.6142	
GOVERN	0.0000	0.0089	
THOSE	0.8000	0.8307	
GREAT	1.0000	1.0000	
AUGUST	1.0000	0.8056	
QUANTITY	1.0000	1.0000	
CALLED	1.0000	1.0000	
WHICH	1.0000	0.9430	
APRIL	1.0000	1.0000	
STATE	0.6667	0.8333	
SENNA	1.0000	0.8042	
INCHES	0.6000	0.5366	
ROPES	0.3333	0.4802	
CONSIDERABLE	1.0000	0.9500	
PLACE	0.4000	0.6193	
DURING	1.0000	1.0000	
CONSIDER	1.0000	0.8056	
GIBSON	1.0000	1.0000	
THEIR	0.6000	0.4644	
LEAVES	1.0000	1.0000	
TREES	1.0000	0.9127	
SUPERINTENDENT	0.7500	0.7708	
SOUTHERN	0.8000	0.8333	
DECEMBER	1.0000	1.0000	
ANNUAL	0.6667	0.7222	
FOR	1.0000	0.7741	
PROVINCES	1.0000	1.0000	
THEREFORE	0.5000	0.4955	
TEMPERATURES	0.6667	0.7917	
THESE	1.0000	0.8041	
DATED	1.0000	1.0000	
GENERAL	1.0000	0.7556	
LITTLE	1.0000	0.9167	
SHOULD	0.8000	0.9667	
REVENUE	0.7500	0.7784	
DOCTOR	1.0000	1.0000	
MIGHT	1.0000	0.8500	
WILLIAM	1.0000	1.0000	
FIRST	1.0000	1.0000	
