Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.2183	0.1894	
MAKING	0.0000	0.0109	
UNDER	0.2000	0.3957	
WHOLE	0.0000	0.0169	
GARDENS	0.4000	0.3901	
AVERRHOA	0.0000	0.0016	
BOARD	0.0000	0.0064	
GARDEN	0.4000	0.2690	
CULTIVATED	0.2000	0.0841	
VALUABLE	0.4000	0.3263	
COLLECTING	1.0000	1.0000	
CALCUTTA	0.6667	0.2701	
ITALY	0.0000	0.0873	
THREE	0.0000	0.0151	
PLANTS	0.0000	0.0215	
TIMES	0.0000	0.0050	
NOT	0.0000	0.0388	
CULTIVATION	0.7500	0.6870	
FEBRUARY	0.3333	0.1823	
BUT	0.0000	0.0119	
WHERE	0.0000	0.0030	
PRODUCED	0.6667	0.4444	
CHINA	0.0000	0.0266	
DIFFERENT	0.0000	0.0285	
DIRECTED	0.6667	0.6736	
ITS	0.0000	0.0181	
PARTS	0.0000	0.0047	
COMMON	0.3333	0.3458	
PLANT	0.0000	0.0079	
CHIEF	0.0000	0.0595	
GEORGE	0.0000	0.0035	
IMPORTANCE	0.6667	0.4274	
EVERY	0.0000	0.0052	
FRUIT	0.0000	0.0038	
CLIMATE	0.0000	0.0182	
PURCHASE	0.3333	0.1970	
INDIA	0.2000	0.1426	
COUNTRIES	0.0000	0.0095	
SUMMER	0.2000	0.0520	
GOVERNMENT	0.3333	0.3610	
ATTENTION	0.0000	0.0052	
SHALL	0.3333	0.3762	
BEING	0.5000	0.2922	
BOTANICAL	0.3333	0.2530	
WATER	0.0000	0.0322	
ABOVE	0.3333	0.1841	
LETTER	0.0000	0.0606	
THERE	0.0000	0.0062	
BE	1.0000	0.6143	
FUTURE	0.0000	0.0035	
AND	1.0000	0.6177	
HONBLE	0.0000	0.0163	
EMPLOYED	0.0000	0.0115	
KNOWN	0.0000	0.0299	
SEASON	0.0000	0.0105	
SEVERAL	0.0000	0.0059	
SUBJECT	0.0000	0.0042	
DIVISION	1.0000	1.0000	
ESQRE	0.0000	0.0845	
PRESENT	0.0000	0.0200	
NATIVES	0.0000	0.0019	
INDIES	0.0000	0.0036	
CONTD	0.0000	0.0782	
SEEDS	0.2000	0.1947	
GOVERN	0.0000	0.0090	
THOSE	0.0000	0.0276	
GREAT	0.3333	0.3508	
AUGUST	0.3333	0.1726	
QUANTITY	0.5000	0.2488	
CALLED	0.6667	0.6667	
WHICH	0.4000	0.2006	
APRIL	0.0000	0.0171	
STATE	0.0000	0.0180	
SENNA	0.7500	0.6049	
INCHES	0.2000	0.0607	
ROPES	0.0000	0.0370	
CONSIDERABLE	0.7500	0.6661	
PLACE	0.2000	0.1250	
CONSIDER	0.3333	0.2186	
DURING	0.2000	0.1467	
GIBSON	0.4000	0.3260	
THEIR	0.0000	0.0261	
LEAVES	0.0000	0.0056	
TREES	0.0000	0.0214	
SUPERINTENDENT	0.2500	0.3143	
SOUTHERN	0.4000	0.4586	
DECEMBER	0.0000	0.0723	
ANNUAL	0.0000	0.1148	
FOR	0.2000	0.0303	
PROVINCES	0.2000	0.2066	
THEREFORE	0.5000	0.6548	
TEMPERATURES	0.0000	0.0027	
THESE	0.0000	0.0486	
DATED	0.6667	0.5833	
GENERAL	0.6667	0.4676	
LITTLE	0.0000	0.0626	
SHOULD	0.0000	0.0199	
REVENUE	0.2500	0.3039	
DOCTOR	1.0000	0.8750	
MIGHT	0.4000	0.3712	
WILLIAM	0.0000	0.0257	
FIRST	0.0000	0.0119	
