Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.5718	0.5633	
bq0028.jpg	1.0000	1.0000	
bq0022.jpg	0.2000	0.2046	
bq0089.jpg	0.6667	0.5868	
bq0144.jpg	0.2500	0.3589	
bq0152.jpg	0.2000	0.1830	
bq0041.jpg	0.4000	0.4412	
bq0146.jpg	0.2000	0.1513	
bq0076.jpg	1.0000	0.8667	
bq0047.jpg	0.6667	0.6722	
bq0073.jpg	0.8000	0.6599	
bq0121.jpg	1.0000	1.0000	
bq0066.jpg	0.4000	0.2552	
bq0037.jpg	1.0000	1.0000	
bq0054.jpg	0.8000	0.8217	
bq0004.jpg	0.6667	0.6718	
bq0142.jpg	1.0000	1.0000	
bq0070.jpg	0.8000	0.5673	
bq0109.jpg	0.7500	0.6630	
bq0126.jpg	0.2000	0.2048	
bq0006.jpg	0.3333	0.3519	
bq0015.jpg	1.0000	1.0000	
bq0067.jpg	0.6000	0.5639	
bq0025.jpg	0.3333	0.3542	
bq0018.jpg	0.6667	0.7778	
bq0148.jpg	1.0000	0.9583	
bq0091.jpg	0.2500	0.3843	
bq0090.jpg	0.8000	0.6771	
bq0033.jpg	0.7500	0.6917	
bq0101.jpg	0.6000	0.6647	
bq0149.jpg	1.0000	0.9596	
bq0128.jpg	0.2000	0.1739	
bq0007.jpg	0.8000	0.8164	
bq0053.jpg	0.8000	0.7557	
bq0049.jpg	1.0000	0.7333	
bq0098.jpg	0.3333	0.3493	
bq0035.jpg	0.7500	0.8750	
bq0030.jpg	0.2000	0.2437	
bq0027.jpg	0.2500	0.3758	
bq0141.jpg	1.0000	1.0000	
bq0017.jpg	1.0000	1.0000	
bq0119.jpg	0.8000	0.8850	
bq0034.jpg	1.0000	1.0000	
bq0117.jpg	0.3333	0.3994	
bq0110.jpg	0.3333	0.3860	
bq0068.jpg	1.0000	1.0000	
bq0051.jpg	0.2000	0.2370	
bq0078.jpg	1.0000	0.6646	
bq0111.jpg	0.3333	0.3415	
bq0115.jpg	0.6000	0.4632	
bq0145.jpg	1.0000	0.9619	
bq0143.jpg	0.3333	0.3934	
bq0097.jpg	0.8000	0.7659	
bq0029.jpg	0.2500	0.2652	
bq0132.jpg	0.2000	0.1996	
bq0081.jpg	0.2000	0.1661	
bq0012.jpg	1.0000	0.9687	
bq0086.jpg	0.8000	0.6956	
bq0039.jpg	1.0000	0.9583	
bq0147.jpg	1.0000	0.9646	
bq0079.jpg	0.2500	0.3040	
bq0151.jpg	0.2000	0.3245	
bq0014.jpg	1.0000	1.0000	
bq0116.jpg	0.3333	0.4008	
bq0016.jpg	0.2000	0.2184	
bq0032.jpg	0.2000	0.2016	
bq0087.jpg	0.8000	0.6964	
bq0138.jpg	0.4000	0.2985	
bq0093.jpg	0.8000	0.8767	
bq0103.jpg	0.7500	0.7611	
bq0008.jpg	0.8000	0.8833	
bq0009.jpg	0.2500	0.2910	
bq0071.jpg	0.2000	0.1606	
bq0094.jpg	0.2500	0.2598	
bq0046.jpg	0.4000	0.5218	
bq0095.jpg	0.8000	0.7149	
bq0106.jpg	0.6667	0.7037	
bq0011.jpg	1.0000	0.9167	
bq0031.jpg	0.6000	0.4347	
bq0050.jpg	0.4000	0.4676	
bq0136.jpg	1.0000	0.8537	
bq0100.jpg	0.6000	0.7440	
bq0059.jpg	0.2000	0.1720	
bq0130.jpg	0.2000	0.1296	
bq0137.jpg	1.0000	0.8612	
bq0019.jpg	0.4000	0.2890	
bq0038.jpg	1.0000	1.0000	
bq0133.jpg	0.4000	0.4313	
bq0123.jpg	0.6000	0.4491	
bq0134.jpg	0.5000	0.5382	
bq0105.jpg	0.6667	0.6672	
bq0099.jpg	0.6667	0.5909	
bq0058.jpg	1.0000	0.8667	
bq0065.jpg	0.3333	0.4621	
bq0118.jpg	0.4000	0.3580	
bq0085.jpg	0.3333	0.4755	
bq0020.jpg	0.6000	0.5920	
bq0088.jpg	0.2000	0.2131	
bq0150.jpg	0.6000	0.5825	
bq0023.jpg	0.4000	0.4451	
bq0061.jpg	0.6000	0.5777	
bq0043.jpg	0.6667	0.5294	
bq0055.jpg	0.2000	0.1466	
bq0127.jpg	0.7500	0.7794	
bq0062.jpg	0.4000	0.4159	
bq0096.jpg	0.6000	0.6334	
bq0010.jpg	1.0000	1.0000	
bq0135.jpg	0.6667	0.6429	
bq0042.jpg	0.4000	0.4378	
bq0005.jpg	1.0000	0.9510	
bq0044.jpg	1.0000	0.9500	
bq0074.jpg	0.8000	0.6106	
bq0140.jpg	0.6000	0.6671	
bq0114.jpg	0.2000	0.2780	
bq0131.jpg	0.2000	0.1354	
bq0040.jpg	0.8000	0.8179	
bq0108.jpg	0.4000	0.4799	
bq0056.jpg	0.2000	0.3638	
