Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.3879	0.3673	
bq0028.jpg	0.2500	0.2603	
bq0022.jpg	0.2000	0.2425	
bq0089.jpg	0.3333	0.3376	
bq0144.jpg	0.2500	0.2809	
bq0152.jpg	0.6000	0.4445	
bq0041.jpg	0.4000	0.4367	
bq0146.jpg	0.4000	0.1636	
bq0076.jpg	0.3333	0.4588	
bq0047.jpg	0.3333	0.3633	
bq0073.jpg	0.4000	0.3102	
bq0121.jpg	0.6667	0.7436	
bq0066.jpg	0.2000	0.1925	
bq0037.jpg	1.0000	0.9167	
bq0054.jpg	0.2000	0.1367	
bq0004.jpg	0.3333	0.3468	
bq0142.jpg	0.2000	0.2022	
bq0070.jpg	0.4000	0.2511	
bq0109.jpg	0.2500	0.2563	
bq0126.jpg	0.2000	0.2191	
bq0006.jpg	0.6667	0.5615	
bq0015.jpg	0.3333	0.3438	
bq0067.jpg	0.2000	0.2150	
bq0025.jpg	0.3333	0.5397	
bq0018.jpg	0.3333	0.3516	
bq0148.jpg	0.2000	0.1397	
bq0091.jpg	0.2500	0.2530	
bq0090.jpg	0.4000	0.1618	
bq0033.jpg	0.5000	0.5427	
bq0101.jpg	0.8000	0.8035	
bq0149.jpg	0.2000	0.0771	
bq0128.jpg	0.2000	0.2186	
bq0007.jpg	0.2000	0.2147	
bq0053.jpg	0.6000	0.4120	
bq0049.jpg	0.8000	0.3862	
bq0098.jpg	0.3333	0.3384	
bq0035.jpg	0.2500	0.2581	
bq0030.jpg	0.4000	0.3205	
bq0027.jpg	1.0000	1.0000	
bq0141.jpg	0.6000	0.6273	
bq0017.jpg	0.3333	0.3399	
bq0034.jpg	1.0000	1.0000	
bq0119.jpg	0.8000	0.8030	
bq0117.jpg	0.3333	0.4399	
bq0110.jpg	0.6667	0.6683	
bq0051.jpg	0.2000	0.2376	
bq0068.jpg	0.3333	0.3377	
bq0078.jpg	0.2000	0.2919	
bq0111.jpg	0.3333	0.3395	
bq0115.jpg	0.8000	0.6405	
bq0145.jpg	0.2000	0.0868	
bq0143.jpg	0.6667	0.5222	
bq0097.jpg	0.2000	0.1592	
bq0029.jpg	0.2500	0.2818	
bq0132.jpg	0.2000	0.2280	
bq0081.jpg	0.2000	0.1460	
bq0012.jpg	0.6000	0.2349	
bq0086.jpg	0.2000	0.1980	
bq0039.jpg	1.0000	0.9762	
bq0147.jpg	0.2000	0.0719	
bq0151.jpg	0.2000	0.1940	
bq0079.jpg	0.2500	0.2672	
bq0014.jpg	0.2500	0.2814	
bq0116.jpg	0.3333	0.3354	
bq0016.jpg	0.2000	0.0950	
bq0032.jpg	0.4000	0.2461	
bq0087.jpg	0.4000	0.3377	
bq0138.jpg	0.2000	0.1633	
bq0093.jpg	0.2000	0.2509	
bq0103.jpg	0.5000	0.5833	
bq0008.jpg	0.2000	0.2480	
bq0009.jpg	0.2500	0.2522	
bq0071.jpg	0.2000	0.1737	
bq0094.jpg	0.2500	0.2523	
bq0046.jpg	0.2000	0.2617	
bq0095.jpg	0.2000	0.1142	
bq0106.jpg	0.6667	0.6714	
bq0011.jpg	0.6667	0.7436	
bq0031.jpg	0.6000	0.3806	
bq0050.jpg	0.2000	0.2773	
bq0136.jpg	0.2000	0.1500	
bq0100.jpg	0.6000	0.5837	
bq0059.jpg	0.4000	0.3193	
bq0130.jpg	0.2000	0.1493	
bq0137.jpg	0.2000	0.1996	
bq0019.jpg	0.4000	0.3647	
bq0038.jpg	1.0000	0.9500	
bq0133.jpg	0.2000	0.1771	
bq0123.jpg	0.2000	0.1633	
bq0134.jpg	0.5000	0.5039	
bq0105.jpg	0.6667	0.6673	
bq0099.jpg	0.6667	0.5588	
bq0058.jpg	0.3333	0.3346	
bq0065.jpg	0.3333	0.3440	
bq0118.jpg	0.2000	0.2036	
bq0085.jpg	0.3333	0.3390	
bq0020.jpg	1.0000	0.8365	
bq0088.jpg	0.2000	0.1538	
bq0150.jpg	0.2000	0.1981	
bq0023.jpg	0.4000	0.3402	
bq0061.jpg	0.4000	0.5342	
bq0043.jpg	0.3333	0.3599	
bq0055.jpg	0.2000	0.1185	
bq0127.jpg	0.5000	0.6135	
bq0062.jpg	1.0000	1.0000	
bq0096.jpg	0.2000	0.1375	
bq0010.jpg	0.6667	0.8333	
bq0135.jpg	0.3333	0.3348	
bq0042.jpg	0.4000	0.4107	
bq0005.jpg	1.0000	0.8169	
bq0074.jpg	0.2000	0.1424	
bq0140.jpg	0.4000	0.3397	
bq0044.jpg	0.7500	0.8611	
bq0114.jpg	0.2000	0.1835	
bq0131.jpg	0.2000	0.1288	
bq0040.jpg	0.4000	0.4690	
bq0108.jpg	0.2000	0.1984	
bq0056.jpg	0.2000	0.2420	
bq0072.jpg	0.2000	0.1284	
bq0075.jpg	0.4000	0.2259	
bq0013.jpg	0.2500	0.2685	
bq0060.jpg	0.2000	0.1736	
bq0104.jpg	0.2500	0.2600	
bq0045.jpg	0.4000	0.3431	
bq0048.jpg	0.7500	0.5726	
bq0052.jpg	0.3333	0.4844	
bq0113.jpg	0.6000	0.6135	
bq0125.jpg	0.2000	0.2350	
bq0122.jpg	0.2000	0.1553	
bq0026.jpg	0.6667	0.6673	
bq0024.jpg	0.3333	0.3387	
bq0077.jpg	0.6667	0.6795	
bq0057.jpg	0.4000	0.4177	
bq0083.jpg	0.4000	0.2821	
bq0139.jpg	0.2000	0.2043	
bq0036.jpg	0.3333	0.3384	
bq0082.jpg	0.2000	0.1537	
bq0124.jpg	0.2000	0.1638	
bq0153.jpg	0.4000	0.3659	
bq0107.jpg	0.2000	0.1825	
bq0112.jpg	0.4000	0.4285	
bq0084.jpg	0.3333	0.3407	
bq0102.jpg	0.6667	0.6691	
bq0064.jpg	0.3333	0.4086	
bq0092.jpg	0.2000	0.2532	
bq0129.jpg	0.2000	0.1590	
bq0063.jpg	0.3333	0.3439	
bq0120.jpg	0.5000	0.4320	
bq0021.jpg	0.2500	0.2665	
bq0069.jpg	0.4000	0.4800	
bq0080.jpg	0.3333	0.3377	
