Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.6130	0.5731	
MAKING	0.6667	0.5878	
UNDER	0.6000	0.5683	
WHOLE	0.8000	0.8075	
BOARD	0.5000	0.5255	
GARDENS	0.6000	0.6261	
AVERRHOA	0.6667	0.8333	
GARDEN	0.6000	0.3862	
CULTIVATED	0.6000	0.6878	
VALUABLE	1.0000	0.9167	
COLLECTING	1.0000	1.0000	
ITALY	1.0000	0.8056	
CALCUTTA	1.0000	1.0000	
THREE	0.5000	0.4286	
PLANTS	1.0000	0.7001	
TIMES	0.6667	0.5244	
NOT	0.6000	0.5306	
CULTIVATION	0.7500	0.8929	
FEBRUARY	0.6667	0.7436	
BUT	0.6000	0.3580	
WHERE	0.2500	0.0720	
PRODUCED	1.0000	0.7556	
CHINA	0.5000	0.6000	
DIFFERENT	1.0000	0.7000	
DIRECTED	1.0000	1.0000	
ITS	0.2000	0.1037	
PARTS	0.2500	0.1637	
COMMON	1.0000	1.0000	
PLANT	0.2500	0.0834	
CHIEF	0.2000	0.0628	
GEORGE	0.0000	0.0130	
IMPORTANCE	0.6667	0.7778	
EVERY	0.4000	0.5163	
CLIMATE	0.4000	0.3649	
FRUIT	0.2000	0.2086	
PURCHASE	0.6667	0.8095	
INDIA	0.8000	0.6502	
COUNTRIES	0.0000	0.0273	
SUMMER	0.4000	0.4814	
GOVERNMENT	0.6667	0.5667	
ATTENTION	0.5000	0.4423	
SHALL	0.6667	0.4583	
BEING	1.0000	0.9500	
BOTANICAL	0.6667	0.6250	
WATER	0.6667	0.7667	
ABOVE	0.6667	0.8095	
LETTER	0.8000	0.7347	
THERE	0.4000	0.3368	
BE	1.0000	0.6974	
FUTURE	0.0000	0.0819	
AND	1.0000	0.9174	
HONBLE	0.8000	0.6762	
EMPLOYED	0.6667	0.5000	
KNOWN	0.5000	0.3240	
SEVERAL	0.6667	0.4911	
SEASON	1.0000	1.0000	
SUBJECT	0.6667	0.7576	
DIVISION	1.0000	1.0000	
ESQRE	0.2500	0.1841	
PRESENT	0.6667	0.5385	
NATIVES	0.3333	0.3645	
INDIES	0.0000	0.0147	
CONTD	0.0000	0.0370	
SEEDS	0.6000	0.3596	
GOVERN	0.0000	0.0067	
THOSE	0.2000	0.2205	
GREAT	0.6667	0.5615	
AUGUST	1.0000	0.9167	
QUANTITY	1.0000	1.0000	
CALLED	1.0000	1.0000	
WHICH	0.8000	0.6953	
APRIL	0.2000	0.1227	
STATE	1.0000	1.0000	
SENNA	0.5000	0.6317	
INCHES	0.8000	0.6277	
ROPES	0.3333	0.4500	
CONSIDERABLE	1.0000	1.0000	
PLACE	0.4000	0.5438	
DURING	0.8000	0.7827	
CONSIDER	1.0000	0.9167	
GIBSON	0.8000	0.9306	
THEIR	0.4000	0.1716	
LEAVES	0.6667	0.6917	
TREES	0.6000	0.5860	
SUPERINTENDENT	0.7500	0.6083	
SOUTHERN	0.2000	0.3199	
DECEMBER	0.7500	0.7679	
ANNUAL	0.6667	0.5333	
FOR	0.8000	0.3420	
PROVINCES	0.4000	0.3436	
THEREFORE	0.7500	0.8750	
TEMPERATURES	0.0000	0.0467	
THESE	0.4000	0.2916	
DATED	1.0000	1.0000	
GENERAL	0.6667	0.6905	
LITTLE	0.3333	0.1972	
SHOULD	0.8000	0.8767	
REVENUE	0.5000	0.5938	
DOCTOR	1.0000	1.0000	
MIGHT	0.6000	0.5527	
WILLIAM	0.2000	0.2454	
FIRST	0.7500	0.7929	
