Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.7607	0.7141	
MAKING	0.6667	0.6111	
UNDER	0.6000	0.6539	
WHOLE	0.6000	0.5106	
GARDENS	0.6000	0.6046	
BOARD	0.7500	0.5186	
AVERRHOA	1.0000	1.0000	
GARDEN	0.8000	0.8093	
CULTIVATED	0.6000	0.3727	
VALUABLE	1.0000	1.0000	
COLLECTING	0.6667	0.5826	
ITALY	0.3333	0.2667	
CALCUTTA	1.0000	1.0000	
THREE	1.0000	0.9500	
PLANTS	1.0000	0.8372	
TIMES	0.6667	0.7917	
NOT	0.8000	0.6168	
CULTIVATION	0.7500	0.7611	
FEBRUARY	1.0000	1.0000	
BUT	1.0000	0.7241	
WHERE	0.2500	0.3399	
PRODUCED	0.6667	0.6556	
CHINA	1.0000	0.9500	
DIFFERENT	1.0000	0.8667	
DIRECTED	1.0000	1.0000	
ITS	0.8000	0.6612	
PARTS	0.7500	0.6255	
COMMON	1.0000	1.0000	
PLANT	0.2500	0.1981	
CHIEF	0.0000	0.0143	
GEORGE	0.8000	0.6855	
IMPORTANCE	1.0000	1.0000	
EVERY	0.6000	0.5970	
CLIMATE	0.4000	0.4145	
FRUIT	0.6000	0.8262	
PURCHASE	0.3333	0.4944	
INDIA	0.8000	0.6792	
COUNTRIES	0.5000	0.3627	
SUMMER	0.2000	0.1077	
GOVERNMENT	1.0000	0.9167	
ATTENTION	1.0000	0.8875	
SHALL	1.0000	0.7556	
BEING	0.7500	0.5250	
BOTANICAL	1.0000	1.0000	
WATER	1.0000	1.0000	
ABOVE	0.6667	0.6556	
LETTER	1.0000	0.8582	
THERE	0.6000	0.7181	
BE	1.0000	0.9380	
FUTURE	1.0000	0.5889	
AND	1.0000	0.9379	
HONBLE	0.8000	0.8409	
EMPLOYED	0.6667	0.6894	
KNOWN	0.2500	0.3986	
SEVERAL	1.0000	0.9167	
SEASON	0.6667	0.6429	
SUBJECT	0.3333	0.4307	
DIVISION	1.0000	1.0000	
ESQRE	0.0000	0.0734	
PRESENT	0.6667	0.5693	
NATIVES	0.6667	0.6786	
INDIES	1.0000	0.7556	
CONTD	1.0000	1.0000	
SEEDS	1.0000	0.8339	
GOVERN	0.0000	0.0056	
THOSE	0.8000	0.7420	
GREAT	0.6667	0.6930	
AUGUST	1.0000	0.8056	
QUANTITY	1.0000	1.0000	
CALLED	1.0000	1.0000	
WHICH	1.0000	0.8888	
APRIL	0.8000	0.9429	
STATE	0.6667	0.6839	
SENNA	1.0000	0.8042	
INCHES	0.4000	0.3712	
ROPES	0.6667	0.5041	
CONSIDERABLE	1.0000	1.0000	
PLACE	0.6000	0.6403	
DURING	0.6000	0.7476	
CONSIDER	0.6667	0.3769	
GIBSON	0.8000	0.8000	
THEIR	0.8000	0.7787	
LEAVES	0.6667	0.8333	
TREES	1.0000	0.8784	
SUPERINTENDENT	0.7500	0.8542	
SOUTHERN	0.8000	0.8306	
DECEMBER	1.0000	1.0000	
ANNUAL	1.0000	0.8056	
FOR	1.0000	0.6574	
PROVINCES	0.8000	0.8303	
THEREFORE	1.0000	1.0000	
TEMPERATURES	0.3333	0.3528	
THESE	0.6000	0.4887	
DATED	1.0000	1.0000	
GENERAL	1.0000	0.8667	
LITTLE	0.6667	0.4389	
SHOULD	0.8000	0.8711	
REVENUE	0.7500	0.6597	
DOCTOR	1.0000	1.0000	
MIGHT	0.8000	0.7674	
WILLIAM	0.8000	0.7411	
FIRST	0.7500	0.7579	
