Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.6133	0.5959	
bq0028.jpg	0.7500	0.7654	
bq0022.jpg	0.6000	0.5695	
bq0089.jpg	0.6667	0.6688	
bq0144.jpg	0.5000	0.3536	
bq0152.jpg	0.4000	0.3132	
bq0041.jpg	0.8000	0.9267	
bq0146.jpg	1.0000	0.5922	
bq0076.jpg	1.0000	1.0000	
bq0047.jpg	0.6667	0.7083	
bq0073.jpg	0.6000	0.5226	
bq0121.jpg	0.6667	0.8333	
bq0066.jpg	0.6000	0.3682	
bq0037.jpg	1.0000	0.8056	
bq0054.jpg	0.8000	0.6199	
bq0004.jpg	0.6667	0.6703	
bq0142.jpg	0.6000	0.4793	
bq0070.jpg	0.2000	0.2573	
bq0109.jpg	0.7500	0.7803	
bq0126.jpg	0.2000	0.2052	
bq0006.jpg	0.6667	0.6768	
bq0015.jpg	0.6667	0.7037	
bq0067.jpg	0.6000	0.5224	
bq0025.jpg	1.0000	1.0000	
bq0018.jpg	1.0000	1.0000	
bq0148.jpg	1.0000	0.4902	
bq0091.jpg	0.2500	0.2905	
bq0090.jpg	0.6000	0.5950	
bq0033.jpg	0.7500	0.8125	
bq0101.jpg	0.6000	0.6455	
bq0149.jpg	0.6000	0.3669	
bq0128.jpg	0.6000	0.6090	
bq0007.jpg	0.4000	0.4950	
bq0053.jpg	1.0000	0.7848	
bq0049.jpg	1.0000	0.5006	
bq0098.jpg	0.3333	0.3761	
bq0035.jpg	0.7500	0.7470	
bq0030.jpg	0.2000	0.3129	
bq0027.jpg	1.0000	1.0000	
bq0141.jpg	0.6000	0.6030	
bq0017.jpg	0.6667	0.7381	
bq0034.jpg	1.0000	1.0000	
bq0119.jpg	0.8000	0.8714	
bq0117.jpg	0.6667	0.5238	
bq0110.jpg	0.3333	0.3644	
bq0068.jpg	1.0000	1.0000	
bq0051.jpg	0.8000	0.8010	
bq0078.jpg	0.4000	0.3807	
bq0111.jpg	0.3333	0.4417	
bq0115.jpg	0.2000	0.2895	
bq0145.jpg	0.8000	0.5118	
bq0143.jpg	0.6667	0.8333	
bq0097.jpg	0.2000	0.2011	
bq0029.jpg	0.7500	0.6884	
bq0132.jpg	0.6000	0.4216	
bq0081.jpg	0.2000	0.1830	
bq0012.jpg	1.0000	0.7033	
bq0086.jpg	0.6000	0.7365	
bq0039.jpg	1.0000	1.0000	
bq0147.jpg	0.2000	0.0718	
