Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.5728	0.5715	
bq0028.jpg	0.5000	0.4539	
bq0022.jpg	0.8000	0.9429	
bq0089.jpg	0.6667	0.6735	
bq0144.jpg	0.2500	0.2951	
bq0152.jpg	0.6000	0.5222	
bq0041.jpg	0.6000	0.6578	
bq0146.jpg	0.2000	0.2004	
bq0076.jpg	1.0000	1.0000	
bq0047.jpg	0.6667	0.6828	
bq0073.jpg	1.0000	0.8314	
bq0121.jpg	0.6667	0.7011	
bq0066.jpg	0.2000	0.2197	
bq0037.jpg	1.0000	1.0000	
bq0054.jpg	0.6000	0.4362	
bq0004.jpg	1.0000	0.8667	
bq0142.jpg	0.6000	0.7599	
bq0070.jpg	0.4000	0.3468	
bq0109.jpg	0.7500	0.8269	
bq0126.jpg	0.2000	0.2265	
bq0006.jpg	1.0000	0.9167	
bq0015.jpg	0.3333	0.3605	
bq0067.jpg	0.6000	0.5952	
bq0025.jpg	0.3333	0.5286	
bq0018.jpg	0.6667	0.8095	
bq0148.jpg	0.6000	0.3405	
bq0091.jpg	0.5000	0.5455	
bq0090.jpg	1.0000	0.6776	
bq0033.jpg	0.7500	0.7900	
bq0101.jpg	0.4000	0.5128	
bq0149.jpg	0.8000	0.4602	
bq0128.jpg	0.6000	0.5300	
bq0007.jpg	0.2000	0.2505	
bq0053.jpg	0.6000	0.5518	
bq0049.jpg	1.0000	0.6904	
bq0098.jpg	0.3333	0.3630	
bq0035.jpg	0.7500	0.8611	
bq0030.jpg	0.6000	0.5037	
bq0027.jpg	0.7500	0.8409	
bq0141.jpg	0.8000	0.8626	
bq0017.jpg	0.3333	0.3378	
bq0034.jpg	1.0000	1.0000	
bq0119.jpg	0.8000	0.9667	
bq0117.jpg	0.6667	0.6715	
bq0110.jpg	0.6667	0.5357	
bq0068.jpg	0.3333	0.5873	
bq0051.jpg	0.8000	0.8667	
bq0078.jpg	0.4000	0.2897	
bq0111.jpg	0.6667	0.5594	
bq0115.jpg	0.4000	0.6336	
bq0145.jpg	1.0000	0.5067	
bq0143.jpg	0.6667	0.7193	
bq0097.jpg	0.2000	0.1599	
bq0029.jpg	0.2500	0.3543	
bq0132.jpg	0.4000	0.3518	
bq0081.jpg	0.2000	0.1485	
bq0012.jpg	1.0000	0.6255	
bq0086.jpg	0.8000	0.6697	
bq0039.jpg	1.0000	1.0000	
bq0147.jpg	0.2000	0.0822	
bq0079.jpg	0.2500	0.2670	
bq0151.jpg	0.4000	0.3426	
