Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.6898	0.6689	
MAKING	0.6667	0.6032	
UNDER	0.6000	0.7196	
WHOLE	0.8000	0.7229	
BOARD	0.7500	0.5561	
AVERRHOA	1.0000	0.9167	
GARDENS	0.6000	0.6083	
GARDEN	0.4000	0.5412	
CULTIVATED	0.8000	0.8598	
VALUABLE	1.0000	0.9444	
COLLECTING	1.0000	1.0000	
CALCUTTA	1.0000	1.0000	
ITALY	1.0000	0.9167	
THREE	0.2500	0.3445	
PLANTS	0.8000	0.6197	
TIMES	1.0000	1.0000	
NOT	0.8000	0.7322	
CULTIVATION	0.7500	0.7823	
FEBRUARY	1.0000	0.8667	
BUT	0.8000	0.4871	
WHERE	0.2500	0.1744	
PRODUCED	0.6667	0.5778	
CHINA	1.0000	1.0000	
DIFFERENT	1.0000	1.0000	
DIRECTED	1.0000	1.0000	
ITS	0.4000	0.2260	
PARTS	0.5000	0.5868	
COMMON	1.0000	1.0000	
PLANT	0.2500	0.1147	
CHIEF	0.2000	0.1995	
GEORGE	0.0000	0.0084	
IMPORTANCE	1.0000	1.0000	
EVERY	0.6000	0.7944	
FRUIT	0.6000	0.6555	
CLIMATE	0.6000	0.5637	
PURCHASE	0.6667	0.7255	
INDIA	1.0000	0.7337	
COUNTRIES	0.2500	0.2954	
SUMMER	0.6000	0.5465	
GOVERNMENT	1.0000	1.0000	
ATTENTION	1.0000	0.8875	
BEING	0.7500	0.8500	
SHALL	0.6667	0.7778	
BOTANICAL	1.0000	1.0000	
WATER	0.0000	0.0497	
ABOVE	0.6667	0.8333	
LETTER	1.0000	0.8112	
THERE	0.6000	0.5639	
BE	1.0000	0.7278	
FUTURE	0.3333	0.4542	
AND	1.0000	0.9130	
HONBLE	0.6000	0.5811	
EMPLOYED	1.0000	0.7556	
KNOWN	0.2500	0.2077	
SEVERAL	0.6667	0.6984	
SEASON	1.0000	0.9167	
SUBJECT	0.6667	0.3076	
DIVISION	1.0000	1.0000	
ESQRE	0.5000	0.4812	
PRESENT	0.6667	0.6984	
NATIVES	0.3333	0.4082	
INDIES	0.0000	0.0846	
CONTD	0.7500	0.8167	
SEEDS	0.8000	0.6071	
GOVERN	0.0000	0.0141	
THOSE	0.4000	0.3030	
GREAT	0.6667	0.8333	
AUGUST	1.0000	0.7000	
QUANTITY	1.0000	1.0000	
CALLED	1.0000	1.0000	
WHICH	1.0000	0.7735	
APRIL	0.8000	0.8909	
STATE	1.0000	0.8056	
SENNA	0.5000	0.7321	
INCHES	0.6000	0.5396	
ROPES	0.6667	0.6879	
CONSIDERABLE	0.7500	0.9167	
PLACE	0.4000	0.4005	
DURING	0.8000	0.9029	
CONSIDER	1.0000	0.8667	
GIBSON	0.0000	0.2263	
THEIR	0.6000	0.3673	
LEAVES	1.0000	0.8667	
TREES	0.6000	0.7278	
SUPERINTENDENT	0.5000	0.6845	
SOUTHERN	0.6000	0.4609	
DECEMBER	1.0000	1.0000	
ANNUAL	1.0000	1.0000	
FOR	1.0000	0.6940	
PROVINCES	0.8000	0.8149	
THEREFORE	0.7500	0.8409	
TEMPERATURES	0.3333	0.5397	
THESE	1.0000	0.6943	
DATED	1.0000	1.0000	
GENERAL	0.6667	0.8095	
LITTLE	0.3333	0.1754	
SHOULD	0.6000	0.7718	
REVENUE	0.7500	0.7167	
DOCTOR	1.0000	1.0000	
MIGHT	0.2000	0.2963	
WILLIAM	0.0000	0.0202	
FIRST	0.5000	0.6250	
