Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.8047	0.7213	
256_270_0.png	1.0000	1.0000	
164_225_13.png	0.6000	0.7333	
160_167_14.png	1.0000	0.9097	
9_9_102.png	1.0000	0.9592	
368_384_0.png	1.0000	1.0000	
71_72_8.png	1.0000	0.9121	
944_986_4.png	1.0000	1.0000	
20_20_48.png	1.0000	0.9255	
428_449_3.png	1.0000	0.8056	
87_88_4.png	1.0000	0.3250	
225_239_0.png	0.0000	0.0110	
150_156_1.png	0.8000	0.6899	
178_185_28.png	0.2000	0.3040	
18_160_46.png	0.4000	0.6249	
3_3_54.png	1.0000	0.9859	
16_16_10.png	0.8000	0.8294	
3_3_127.png	1.0000	0.9923	
149_155_5.png	1.0000	0.8267	
359_1246_0.png	1.0000	1.0000	
20_20_144.png	1.0000	0.8513	
265_279_9.png	0.6667	0.7917	
112_115_6.png	0.5000	0.1909	
225_318_17.png	0.6000	0.5972	
21_21_1.png	1.0000	1.0000	
540_567_1.png	0.3333	0.2444	
8_8_26.png	1.0000	0.9519	
18_160_26.png	0.8000	0.8390	
150_156_20.png	1.0000	0.8602	
57_57_21.png	0.6000	0.5711	
20_20_51.png	1.0000	0.9477	
9_60_1.png	1.0000	0.9475	
281_295_1.png	1.0000	0.5000	
166_173_52.png	0.6000	0.3743	
9_9_137.png	1.0000	0.8526	
339_355_0.png	1.0000	1.0000	
2_2_14.png	0.8000	0.8259	
225_318_1.png	0.2000	0.2572	
42_42_4.png	0.8000	0.9250	
20_20_59.png	1.0000	0.9336	
20_20_92.png	1.0000	0.9387	
115_119_2.png	1.0000	0.3333	
151_157_25.png	1.0000	0.7544	
234_248_5.png	1.0000	0.2500	
136_142_6.png	1.0000	1.0000	
160_167_1.png	0.0000	0.0918	
20_20_199.png	1.0000	0.8990	
149_155_23.png	0.0000	0.3047	
166_173_49.png	0.0000	0.0810	
8_8_19.png	0.8000	0.7850	
44_44_1.png	0.8000	0.9667	
825_864_3.png	1.0000	0.4778	
216_229_6.png	1.0000	0.9167	
149_155_41.png	1.0000	0.8046	
3_3_97.png	1.0000	0.9920	
2_2_16.png	0.8000	0.7706	
198_207_2.png	0.0000	0.0019	
747_834_0.png	1.0000	0.7500	
8_8_15.png	1.0000	0.8473	
19_19_16.png	1.0000	0.9557	
151_157_28.png	0.0000	0.0034	
111_114_8.png	0.5000	0.4688	
25_25_77.png	0.2000	0.1785	
164_225_5.png	0.2000	0.3590	
31_31_0.png	1.0000	1.0000	
264_278_8.png	0.5000	0.5435	
8_8_44.png	1.0000	0.9488	
20_20_170.png	1.0000	0.9117	
20_20_169.png	0.8000	0.9051	
3_3_86.png	1.0000	0.9926	
147_153_2.png	1.0000	1.0000	
494_519_0.png	1.0000	1.0000	
3_3_13.png	1.0000	0.9896	
827_866_0.png	1.0000	1.0000	
3_3_45.png	1.0000	0.9839	
20_20_66.png	1.0000	0.9265	
461_566_0.png	1.0000	1.0000	
206_217_15.png	0.0000	0.0863	
3_3_120.png	1.0000	0.9898	
108_111_0.png	1.0000	0.2500	
9_9_9.png	1.0000	0.9073	
314_330_3.png	1.0000	1.0000	
562_589_1.png	1.0000	1.0000	
206_217_20.png	0.6000	0.7722	
129_414_8.png	0.7500	0.6909	
444_467_2.png	1.0000	0.3333	
25_25_64.png	1.0000	0.6422	
233_247_6.png	0.6667	0.6667	
71_72_3.png	1.0000	0.9159	
240_254_17.png	1.0000	1.0000	
20_141_10.png	0.4000	0.2560	
9_9_221.png	1.0000	0.9667	
18_160_8.png	0.6000	0.6586	
9_9_104.png	0.8000	0.7673	
111_114_6.png	0.5000	0.2769	
9_9_228.png	1.0000	0.9658	
461_486_2.png	0.4000	0.3213	
107_110_24.png	1.0000	0.6627	
747_834_2.png	1.0000	1.0000	
2_2_20.png	1.0000	0.9286	
18_18_21.png	0.6000	0.7242	
20_20_12.png	1.0000	0.9429	
172_179_4.png	1.0000	1.0000	
9_9_226.png	1.0000	0.9477	
54_54_1.png	1.0000	0.5833	
149_155_36.png	1.0000	0.8240	
25_25_52.png	0.2000	0.2314	
3_3_17.png	1.0000	0.9905	
178_233_1.png	0.0000	0.1304	
87_88_0.png	1.0000	0.7500	
6_6_1.png	1.0000	0.5000	
9_9_28.png	0.6000	0.5172	
20_20_195.png	0.8000	0.8696	
40_40_71.png	0.2000	0.2040	
381_399_3.png	0.0000	0.0323	
9_9_182.png	0.4000	0.7201	
96_98_0.png	0.6667	0.5556	
9_9_152.png	1.0000	0.9012	
21_21_3.png	1.0000	1.0000	
18_18_13.png	0.8000	0.8369	
190_198_8.png	0.7500	0.8409	
45_45_42.png	1.0000	0.7597	
57_57_18.png	0.6000	0.7135	
213_226_0.png	0.6667	0.7292	
723_758_0.png	0.0000	0.0032	
19_19_71.png	0.8000	0.7067	
20_20_128.png	0.8000	0.8710	
9_9_147.png	0.8000	0.8228	
19_19_48.png	1.0000	0.9553	
20_20_227.png	0.8000	0.8042	
391_409_0.png	1.0000	0.5000	
20_20_133.png	1.0000	0.9391	
211_683_0.png	1.0000	0.3250	
112_115_7.png	0.5000	0.2917	
794_831_18.png	1.0000	1.0000	
8_8_8.png	1.0000	0.7825	
80_81_12.png	1.0000	0.8056	
593_621_2.png	1.0000	1.0000	
225_318_13.png	0.8000	0.6619	
87_88_1.png	1.0000	0.8333	
3_3_126.png	1.0000	0.9915	
18_160_62.png	0.8000	0.6757	
19_19_41.png	1.0000	0.8578	
20_20_16.png	1.0000	0.9378	
384_402_3.png	1.0000	0.7500	
45_45_9.png	1.0000	0.8245	
