Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.8336	0.7381	
PUBLICK	1.0000	1.0000	
COMPANY,	0.8000	0.9484	
INDEPENDANT	1.0000	1.0000	
STEWARTS	0.0000	0.0077	
LITTLE	1.0000	1.0000	
PROCEED	1.0000	1.0000	
BOOK	1.0000	1.0000	
OTHER	1.0000	1.0000	
BREECHES;	1.0000	1.0000	
HARBOURING	1.0000	1.0000	
RIVAL	1.0000	1.0000	
SOME	1.0000	0.9167	
IMMEDIATELY.	1.0000	1.0000	
UNDER	0.7500	0.8929	
COPY	1.0000	0.5000	
INTO	1.0000	0.5000	
5TH	1.0000	1.0000	
A	0.2000	0.4221	
ROKEE	1.0000	1.0000	
DEAD,	1.0000	1.0000	
REPRESENTED	1.0000	1.0000	
DELIVER	1.0000	1.0000	
ANY	1.0000	1.0000	
BELOW;	1.0000	0.3333	
PARTY,	1.0000	0.2000	
TEN	0.5000	0.6250	
KNEW	1.0000	0.5000	
MOST	1.0000	0.2000	
PATTERSONS	1.0000	1.0000	
5TH.	0.0000	0.1429	
WHO	0.5000	0.5982	
FEW	1.0000	0.2000	
1755	1.0000	0.8333	
ADVISABLE	1.0000	1.0000	
MONEY	1.0000	1.0000	
THESE	1.0000	1.0000	
ISSUE	1.0000	1.0000	
PRESENT,	1.0000	1.0000	
CHIEF	1.0000	1.0000	
SUSTAINED	1.0000	1.0000	
SUPPLY	1.0000	1.0000	
GAGE	1.0000	1.0000	
DESIRE	1.0000	1.0000	
PLACE	1.0000	1.0000	
OMINOUS.	1.0000	1.0000	
HONOR	0.0000	0.0714	
THERE.	1.0000	0.2500	
EXAMINATION	1.0000	1.0000	
ALLEN	1.0000	1.0000	
PARTY	1.0000	1.0000	
QUARTERED	1.0000	1.0000	
COMMONALTY	1.0000	1.0000	
MAKING	1.0000	0.2000	
BOOK,	1.0000	0.5000	
HAS	0.6667	0.6181	
ME	1.0000	0.8042	
RECRUI-	0.0000	0.0370	
OUR	1.0000	0.8056	
N.B.	0.0000	0.0769	
CUMBERLAND	1.0000	0.3333	
FOLLOWING	1.0000	1.0000	
WILLIAMSBURGH	1.0000	1.0000	
ENCREASED,	1.0000	1.0000	
SHAW,	0.0000	0.0714	
FLEMING,	1.0000	0.5000	
SERGEANT,	1.0000	0.8333	
ATTENDANCE	1.0000	1.0000	
COLONEL	1.0000	1.0000	
CHARGE	1.0000	1.0000	
NOW	1.0000	1.0000	
MEN,	1.0000	0.3333	
277.	0.0000	0.0556	
RIDING	0.0000	0.0185	
SALTED.	1.0000	1.0000	
ON	1.0000	1.0000	
GREATER	1.0000	1.0000	
