Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.8220	0.7705	
256_270_0.png	1.0000	1.0000	
164_225_13.png	1.0000	1.0000	
160_167_14.png	0.8000	0.7529	
9_9_102.png	1.0000	0.9967	
368_384_0.png	1.0000	0.5000	
71_72_8.png	1.0000	0.9889	
944_986_4.png	1.0000	1.0000	
20_20_48.png	1.0000	0.9810	
428_449_3.png	1.0000	0.9167	
87_88_4.png	0.0000	0.0218	
225_239_0.png	0.0000	0.0227	
150_156_1.png	1.0000	0.9832	
178_185_28.png	0.2000	0.3332	
18_160_46.png	1.0000	0.7690	
3_3_54.png	1.0000	0.9942	
16_16_10.png	0.6000	0.7833	
3_3_127.png	1.0000	0.9905	
149_155_5.png	0.8000	0.6740	
359_1246_0.png	1.0000	0.7500	
20_20_144.png	1.0000	0.9727	
265_279_9.png	1.0000	0.9167	
112_115_6.png	1.0000	0.8333	
225_318_17.png	0.8000	0.7079	
21_21_1.png	0.0000	0.0958	
540_567_1.png	0.3333	0.1486	
8_8_26.png	1.0000	0.8331	
18_160_26.png	1.0000	0.8212	
150_156_20.png	1.0000	0.9866	
57_57_21.png	0.6000	0.6997	
20_20_51.png	1.0000	0.9819	
9_60_1.png	1.0000	0.9875	
281_295_1.png	1.0000	1.0000	
166_173_52.png	0.4000	0.1853	
9_9_137.png	1.0000	0.9676	
339_355_0.png	1.0000	1.0000	
2_2_14.png	0.6000	0.7088	
225_318_1.png	1.0000	0.7677	
42_42_4.png	0.8000	0.9111	
20_20_59.png	1.0000	0.9783	
20_20_92.png	1.0000	0.9804	
115_119_2.png	1.0000	1.0000	
151_157_25.png	0.6000	0.4687	
234_248_5.png	1.0000	1.0000	
136_142_6.png	1.0000	1.0000	
160_167_1.png	0.0000	0.1091	
20_20_199.png	1.0000	0.9737	
149_155_23.png	0.2000	0.3667	
166_173_49.png	0.4000	0.2724	
8_8_19.png	1.0000	0.7547	
44_44_1.png	0.8000	0.8767	
825_864_3.png	1.0000	0.8056	
216_229_6.png	1.0000	0.5889	
149_155_41.png	1.0000	0.7364	
3_3_97.png	1.0000	0.9871	
2_2_16.png	0.8000	0.6679	
198_207_2.png	0.0000	0.0011	
747_834_0.png	1.0000	1.0000	
8_8_15.png	1.0000	0.9314	
19_19_16.png	1.0000	0.8501	
151_157_28.png	0.0000	0.0036	
111_114_8.png	0.7500	0.7627	
25_25_77.png	1.0000	0.9822	
164_225_5.png	1.0000	1.0000	
31_31_0.png	1.0000	1.0000	
264_278_8.png	0.5000	0.1714	
8_8_44.png	0.6000	0.5889	
20_20_170.png	1.0000	0.9795	
20_20_169.png	1.0000	0.9766	
3_3_86.png	1.0000	0.9883	
147_153_2.png	1.0000	0.5833	
494_519_0.png	1.0000	1.0000	
3_3_13.png	1.0000	0.9917	
827_866_0.png	1.0000	1.0000	
3_3_45.png	1.0000	0.9915	
20_20_66.png	1.0000	0.9746	
461_566_0.png	0.6000	0.7458	
206_217_15.png	1.0000	1.0000	
3_3_120.png	1.0000	0.9897	
108_111_0.png	0.0000	0.1667	
9_9_9.png	1.0000	0.9765	
314_330_3.png	1.0000	0.5000	
562_589_1.png	1.0000	0.5000	
206_217_20.png	1.0000	1.0000	
129_414_8.png	0.7500	0.6896	
444_467_2.png	1.0000	1.0000	
25_25_64.png	1.0000	0.9893	
233_247_6.png	1.0000	1.0000	
71_72_3.png	1.0000	0.9889	
240_254_17.png	1.0000	1.0000	
20_141_10.png	1.0000	0.9154	
9_9_221.png	1.0000	0.9968	
18_160_8.png	1.0000	0.8087	
9_9_104.png	0.8000	0.9296	
111_114_6.png	0.5000	0.5702	
9_9_228.png	1.0000	0.9931	
461_486_2.png	0.6000	0.7014	
107_110_24.png	0.4000	0.3630	
747_834_2.png	1.0000	1.0000	
2_2_20.png	0.6000	0.5822	
18_18_21.png	1.0000	0.8705	
20_20_12.png	1.0000	0.9855	
172_179_4.png	1.0000	1.0000	
9_9_226.png	1.0000	0.9929	
54_54_1.png	1.0000	1.0000	
149_155_36.png	1.0000	0.7434	
25_25_52.png	1.0000	0.9920	
3_3_17.png	1.0000	0.9929	
178_233_1.png	0.0000	0.1113	
87_88_0.png	1.0000	0.3667	
6_6_1.png	1.0000	0.2000	
9_9_28.png	1.0000	0.9263	
20_20_195.png	1.0000	0.9720	
40_40_71.png	1.0000	0.9102	
381_399_3.png	0.0000	0.1667	
9_9_182.png	1.0000	0.9703	
96_98_0.png	0.6667	0.5000	
9_9_152.png	1.0000	0.9520	
21_21_3.png	0.5000	0.6111	
18_18_13.png	0.8000	0.6788	
190_198_8.png	0.7500	0.7292	
45_45_42.png	1.0000	0.8846	
57_57_18.png	0.8000	0.7571	
213_226_0.png	0.0000	0.1093	
723_758_0.png	0.0000	0.0256	
19_19_71.png	0.8000	0.7567	
20_20_128.png	1.0000	0.9653	
9_9_147.png	1.0000	0.9966	
19_19_48.png	0.8000	0.8358	
20_20_227.png	1.0000	0.9725	
391_409_0.png	1.0000	1.0000	
20_20_133.png	1.0000	0.9739	
211_683_0.png	0.5000	0.1563	
112_115_7.png	1.0000	1.0000	
794_831_18.png	1.0000	1.0000	
8_8_8.png	1.0000	0.9123	
80_81_12.png	1.0000	0.8667	
593_621_2.png	1.0000	1.0000	
225_318_13.png	0.8000	0.6708	
87_88_1.png	0.5000	0.6667	
3_3_126.png	1.0000	0.9846	
18_160_62.png	1.0000	0.7287	
19_19_41.png	0.8000	0.6359	
20_20_16.png	1.0000	0.9787	
384_402_3.png	0.5000	0.3611	
45_45_9.png	1.0000	0.9270	
136_142_3.png	1.0000	1.0000	
71_72_24.png	1.0000	0.9889	
160_167_0.png	0.4000	0.4511	
202_211_11.png	0.8000	0.7100	
40_40_55.png	0.2000	0.1065	
18_18_24.png	0.4000	0.4952	
150_156_9.png	1.0000	0.9832	
233_247_3.png	1.0000	1.0000	
509_535_0.png	1.0000	1.0000	
151_157_8.png	0.6000	0.4332	
107_110_37.png	0.6000	0.3701	
674_707_1.png	1.0000	0.5000	
78_79_1.png	0.8000	0.7486	
18_160_53.png	0.8000	0.6668	
3_3_52.png	1.0000	0.9912	
311_327_7.png	0.0000	0.1116	
395_413_2.png	1.0000	1.0000	
