Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.9224	0.8562	
PUBLICK	1.0000	1.0000	
COMPANY,	0.8000	0.8734	
INDEPENDANT	1.0000	1.0000	
STEWARTS	0.0000	0.0032	
LITTLE	1.0000	1.0000	
PROCEED	1.0000	1.0000	
BOOK	1.0000	1.0000	
OTHER	1.0000	1.0000	
BREECHES;	1.0000	1.0000	
HARBOURING	1.0000	1.0000	
RIVAL	1.0000	1.0000	
SOME	1.0000	1.0000	
IMMEDIATELY.	1.0000	1.0000	
UNDER	1.0000	1.0000	
COPY	1.0000	1.0000	
INTO	1.0000	0.2000	
5TH	1.0000	1.0000	
A	0.6000	0.7392	
ROKEE	1.0000	1.0000	
DEAD,	1.0000	1.0000	
REPRESENTED	1.0000	1.0000	
DELIVER	1.0000	1.0000	
ANY	1.0000	1.0000	
BELOW;	1.0000	1.0000	
PARTY,	1.0000	0.5000	
TEN	1.0000	1.0000	
KNEW	1.0000	1.0000	
PATTERSONS	1.0000	1.0000	
MOST	1.0000	1.0000	
5TH.	0.0000	0.1667	
WHO	1.0000	1.0000	
FEW	1.0000	1.0000	
1755	0.5000	0.2250	
ADVISABLE	1.0000	1.0000	
MONEY	1.0000	1.0000	
THESE	1.0000	1.0000	
ISSUE	1.0000	1.0000	
PRESENT,	1.0000	1.0000	
CHIEF	1.0000	1.0000	
SUSTAINED	1.0000	1.0000	
SUPPLY	1.0000	1.0000	
GAGE	1.0000	1.0000	
DESIRE	1.0000	1.0000	
PLACE	1.0000	0.5000	
OMINOUS.	1.0000	1.0000	
HONOR	1.0000	0.5000	
THERE.	1.0000	0.2000	
EXAMINATION	1.0000	1.0000	
ALLEN	1.0000	1.0000	
PARTY	1.0000	0.5000	
QUARTERED	1.0000	1.0000	
COMMONALTY	1.0000	1.0000	
MAKING	1.0000	1.0000	
BOOK,	1.0000	0.5000	
HAS	0.6667	0.7436	
ME	1.0000	0.8875	
RECRUI-	0.0000	0.0667	
OUR	1.0000	1.0000	
N.B.	0.0000	0.0909	
CUMBERLAND	1.0000	0.5000	
FOLLOWING	1.0000	1.0000	
WILLIAMSBURGH	1.0000	1.0000	
ENCREASED,	1.0000	1.0000	
SHAW,	1.0000	1.0000	
FLEMING,	1.0000	1.0000	
SERGEANT,	1.0000	0.8333	
ATTENDANCE	1.0000	1.0000	
COLONEL	1.0000	1.0000	
CHARGE	1.0000	1.0000	
NOW	1.0000	1.0000	
MEN,	1.0000	1.0000	
277.	1.0000	0.5000	
RIDING	1.0000	1.0000	
SALTED.	1.0000	1.0000	
ON	1.0000	1.0000	
GREATER	1.0000	1.0000	
VESSEL	1.0000	0.5000	
LIEUTENANT	1.0000	1.0000	
EACH	1.0000	1.0000	
FICIENT	1.0000	1.0000	
EXPECTED	1.0000	1.0000	
CAN	1.0000	1.0000	
CONCEIVE,	1.0000	1.0000	
PROPERLY	1.0000	1.0000	
ME.	0.0000	0.0323	
P.S.	1.0000	1.0000	
FUL	1.0000	1.0000	
DIRECTED	1.0000	1.0000	
JOHN	1.0000	1.0000	
MANY	1.0000	1.0000	
IN	1.0000	0.9007	
DAY	1.0000	1.0000	
LEFT	1.0000	1.0000	
FOR	1.0000	0.9655	
HALT	1.0000	1.0000	
ARRIVE	1.0000	1.0000	
YOU	1.0000	0.9399	
CLO-	1.0000	1.0000	
300.	0.0000	0.0345	
DISCIPLINE,	1.0000	1.0000	
CON-	0.0000	0.1667	
KING.	1.0000	0.2000	
TER;	1.0000	1.0000	
SALT.	1.0000	0.3333	
