Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.8164	0.7273	
PUBLICK	1.0000	1.0000	
COMPANY,	0.8000	0.9484	
INDEPENDANT	1.0000	1.0000	
STEWARTS	0.0000	0.0063	
LITTLE	1.0000	1.0000	
PROCEED	1.0000	1.0000	
BOOK	1.0000	1.0000	
OTHER	1.0000	1.0000	
BREECHES;	1.0000	1.0000	
HARBOURING	1.0000	1.0000	
RIVAL	1.0000	1.0000	
SOME	1.0000	1.0000	
IMMEDIATELY.	1.0000	1.0000	
UNDER	0.7500	0.8269	
COPY	1.0000	1.0000	
INTO	0.0000	0.0769	
5TH	0.0000	0.0020	
A	0.6000	0.6640	
ROKEE	1.0000	1.0000	
DEAD,	1.0000	1.0000	
REPRESENTED	1.0000	1.0000	
DELIVER	1.0000	1.0000	
ANY	1.0000	1.0000	
BELOW;	1.0000	1.0000	
PARTY,	1.0000	0.2500	
TEN	0.7500	0.7517	
KNEW	1.0000	1.0000	
MOST	1.0000	0.2500	
PATTERSONS	1.0000	1.0000	
5TH.	0.0000	0.0833	
WHO	0.7500	0.7542	
FEW	0.0000	0.0556	
1755	0.5000	0.2159	
ADVISABLE	1.0000	1.0000	
MONEY	1.0000	1.0000	
THESE	1.0000	0.9167	
ISSUE	1.0000	0.3333	
PRESENT,	1.0000	1.0000	
CHIEF	1.0000	1.0000	
SUSTAINED	1.0000	1.0000	
SUPPLY	1.0000	1.0000	
GAGE	1.0000	1.0000	
DESIRE	1.0000	1.0000	
PLACE	1.0000	0.5000	
OMINOUS.	1.0000	1.0000	
HONOR	1.0000	0.5000	
THERE.	0.0000	0.0588	
EXAMINATION	1.0000	1.0000	
ALLEN	0.0000	0.0526	
PARTY	1.0000	0.2000	
QUARTERED	1.0000	1.0000	
COMMONALTY	1.0000	1.0000	
BOOK,	1.0000	0.5000	
MAKING	1.0000	0.3333	
HAS	0.3333	0.2043	
ME	0.7500	0.7409	
RECRUI-	0.0000	0.1111	
OUR	1.0000	1.0000	
N.B.	1.0000	0.2000	
CUMBERLAND	1.0000	0.5000	
FOLLOWING	1.0000	1.0000	
WILLIAMSBURGH	1.0000	1.0000	
ENCREASED,	1.0000	1.0000	
SHAW,	0.0000	0.0455	
FLEMING,	1.0000	1.0000	
SERGEANT,	1.0000	1.0000	
ATTENDANCE	1.0000	1.0000	
COLONEL	1.0000	1.0000	
CHARGE	1.0000	1.0000	
NOW	1.0000	1.0000	
MEN,	1.0000	0.3333	
277.	0.0000	0.0217	
RIDING	0.0000	0.0333	
SALTED.	1.0000	1.0000	
ON	0.6667	0.7333	
GREATER	1.0000	1.0000	
VESSEL	1.0000	0.5000	
LIEUTENANT	0.7500	0.7220	
EACH	1.0000	1.0000	
FICIENT	1.0000	1.0000	
EXPECTED	1.0000	0.5000	
CAN	1.0000	1.0000	
CONCEIVE,	1.0000	1.0000	
PROPERLY	1.0000	1.0000	
ME.	0.0000	0.0370	
P.S.	0.0000	0.1429	
FUL	0.0000	0.0400	
DIRECTED	1.0000	1.0000	
JOHN	1.0000	0.8333	
MANY	1.0000	1.0000	
IN	1.0000	0.5430	
DAY	1.0000	1.0000	
LEFT	0.0000	0.1429	
FOR	0.2000	0.0983	
HALT	1.0000	1.0000	
ARRIVE	1.0000	0.2500	
YOU	0.8000	0.6854	
CLO-	1.0000	0.5000	
300.	0.0000	0.1000	
DISCIPLINE,	1.0000	1.0000	
CON-	1.0000	0.2500	
KING.	1.0000	1.0000	
TER;	1.0000	0.2000	
SALT.	0.0000	0.0076	
THOUSAND	1.0000	1.0000	
28TH	0.0000	0.0118	
COUNT	1.0000	1.0000	
MYSELF.	0.0000	0.0714	
CATTLE	1.0000	1.0000	
INSTRUCTIONS.	1.0000	0.6389	
EVERY	1.0000	1.0000	
DAG-	0.0000	0.0323	
WE	0.0000	0.0750	
29TH.	0.0000	0.0200	
EN-	0.0000	0.0082	
EVILS,	0.0000	0.0127	
DIRECTING	1.0000	1.0000	
HONOUR	1.0000	1.0000	
COUNTRY	1.0000	1.0000	
TRADE,	1.0000	1.0000	
HATS	0.0000	0.0192	
CAPTAINS	1.0000	1.0000	
SEE-	1.0000	0.2000	
AT	1.0000	1.0000	
WRITTEN	1.0000	1.0000	
TOOLS,	1.0000	1.0000	
LAY	1.0000	1.0000	
STOCKING,	1.0000	0.5000	
BRONAUGH,	1.0000	1.0000	
DONE	1.0000	1.0000	
NICHOLAS	1.0000	1.0000	
BEEF;	1.0000	1.0000	
PAY	1.0000	1.0000	
AM	0.6667	0.7667	
SPECT	1.0000	1.0000	
CARE	1.0000	1.0000	
CIRCUM-	1.0000	1.0000	
ALSO.	1.0000	0.2500	
ACT;	1.0000	0.5000	
CAN;	1.0000	1.0000	
HIM,	1.0000	1.0000	
NEXT	1.0000	1.0000	
ONCE	1.0000	1.0000	
TO	1.0000	0.9400	
CARRY.	1.0000	0.3333	
HIS	0.6000	0.7367	
HONOUR,	0.0000	0.1667	
INTEN-	1.0000	1.0000	
WHETHER	1.0000	0.5000	
IT:	0.0000	0.0128	
CAN.	0.0000	0.1667	
REASONABLE	1.0000	1.0000	
HONOURED	1.0000	1.0000	
WAY,	0.0000	0.0526	
FREDERICKSBURGH	1.0000	1.0000	
BREAD;	1.0000	1.0000	
WASHINGTON,	1.0000	1.0000	
CUMBERLAND,	1.0000	1.0000	
COMPLETELY	1.0000	1.0000	
SUB-	0.0000	0.0030	
AND	1.0000	0.9897	
COMPLAINED	1.0000	1.0000	
DOWN,	1.0000	0.5000	
TIME,	0.5000	0.2756	
MADE	1.0000	1.0000	
BOYD,	1.0000	1.0000	
BE	1.0000	0.8198	
APPEAR	1.0000	1.0000	
OCTOBER	1.0000	0.8056	
1ST.	0.5000	0.4167	
REVIEW	1.0000	1.0000	
DECEMBER	1.0000	1.0000	
11TH.	0.0000	0.0250	
&C.	1.0000	0.8808	
IM-	0.0000	0.1000	
CARRY	1.0000	1.0000	
IF	0.8000	0.7129	
SHOULD	1.0000	1.0000	
MAY	1.0000	0.5000	
BURGH,	1.0000	1.0000	
DO	0.0000	0.1429	
NO	0.2500	0.3793	
MEN.	1.0000	1.0000	
10TH	0.0000	0.0172	
ORDERS	0.8000	0.7890	
BEST	1.0000	1.0000	
WORK.	0.0000	0.1667	
ORDERED,	0.6667	0.5000	
GOLD	1.0000	0.5000	
FIRST	1.0000	1.0000	
ROBERT	1.0000	1.0000	
WILPER,	1.0000	0.5000	
REPAIR	0.0000	0.1429	
HERE	0.8000	0.9000	
TEACHING	1.0000	1.0000	
STEWART,	1.0000	0.5000	
WITH	0.6000	0.6595	
LEAVE	1.0000	0.5000	
COM-	1.0000	1.0000	
CAPTAINS'	1.0000	0.5000	
BEING	1.0000	0.7000	
IMPATIENTLY	1.0000	1.0000	
TRIDGES.	1.0000	1.0000	
CLOTHING	1.0000	1.0000	
LARGE	1.0000	0.3333	
MUST	0.8000	0.9000	
MARCH,	1.0000	0.5000	
PENCE	1.0000	1.0000	
MEN	0.6667	0.7222	
SEND	1.0000	0.8056	
APPLY,	1.0000	0.5000	
INTO.	1.0000	1.0000	
MEET	1.0000	1.0000	
DIRECTIONS	1.0000	1.0000	
ACT	0.0000	0.0286	
THAT	1.0000	0.9944	
PART	1.0000	1.0000	
MARCH	1.0000	0.5833	
AS	1.0000	0.7997	
SILVER:	1.0000	1.0000	
LAW	0.0000	0.1667	
PROPER	1.0000	1.0000	
THINK	1.0000	0.5000	
DUTY	1.0000	1.0000	
ILL,	1.0000	1.0000	
GREAT	1.0000	1.0000	
QUANTITY	1.0000	1.0000	
WHERE	0.5000	0.5009	
16,	0.0000	0.0055	
REGIMENT,	1.0000	1.0000	
REMAINS	1.0000	0.5000	
YET	1.0000	0.8333	
309.	0.0000	0.0323	
ELEVEN	1.0000	1.0000	
IMMEDI-	0.0000	0.1667	
WILL	1.0000	1.0000	
SENT,	0.0000	0.1429	
ALTERNS	1.0000	1.0000	
PAYING	0.0000	0.1429	
READINESS	1.0000	1.0000	
ARRIVED:	1.0000	1.0000	
PETER	1.0000	1.0000	
COUNTRY,	1.0000	0.5000	
NOT	0.2500	0.3880	
ATELY	1.0000	1.0000	
SORE	1.0000	1.0000	
BY	1.0000	1.0000	
OFF	0.0000	0.0058	
YOUR	1.0000	0.8096	
PLACE,	1.0000	1.0000	
MARK,	1.0000	1.0000	
