Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.9648	0.9522	
256_270_0.png	1.0000	1.0000	
164_225_13.png	0.8000	0.9667	
160_167_14.png	1.0000	1.0000	
9_9_102.png	1.0000	1.0000	
368_384_0.png	1.0000	1.0000	
71_72_8.png	1.0000	1.0000	
944_986_4.png	1.0000	1.0000	
20_20_48.png	1.0000	0.9905	
428_449_3.png	1.0000	0.8056	
87_88_4.png	0.0000	0.0283	
225_239_0.png	1.0000	0.9526	
150_156_1.png	1.0000	1.0000	
178_185_28.png	0.4000	0.5480	
18_160_46.png	0.4000	0.6244	
3_3_54.png	1.0000	1.0000	
16_16_10.png	1.0000	1.0000	
3_3_127.png	1.0000	1.0000	
149_155_5.png	1.0000	0.9881	
359_1246_0.png	1.0000	1.0000	
20_20_144.png	1.0000	0.9888	
265_279_9.png	1.0000	1.0000	
112_115_6.png	1.0000	1.0000	
225_318_17.png	1.0000	0.9526	
21_21_1.png	1.0000	1.0000	
540_567_1.png	1.0000	1.0000	
8_8_26.png	1.0000	1.0000	
18_160_26.png	1.0000	0.9742	
150_156_20.png	1.0000	1.0000	
57_57_21.png	1.0000	0.9325	
20_20_51.png	1.0000	0.9893	
9_60_1.png	1.0000	1.0000	
281_295_1.png	1.0000	1.0000	
166_173_52.png	0.6000	0.3783	
9_9_137.png	1.0000	1.0000	
339_355_0.png	1.0000	1.0000	
2_2_14.png	1.0000	0.9821	
225_318_1.png	0.8000	0.9318	
42_42_4.png	0.8000	0.9267	
20_20_59.png	1.0000	0.9779	
20_20_92.png	1.0000	0.9885	
115_119_2.png	1.0000	1.0000	
151_157_25.png	1.0000	0.8586	
234_248_5.png	1.0000	1.0000	
136_142_6.png	1.0000	1.0000	
160_167_1.png	1.0000	1.0000	
20_20_199.png	1.0000	0.9727	
149_155_23.png	1.0000	1.0000	
166_173_49.png	0.4000	0.3738	
8_8_19.png	1.0000	1.0000	
44_44_1.png	0.8000	0.8100	
825_864_3.png	1.0000	0.9167	
216_229_6.png	1.0000	1.0000	
149_155_41.png	1.0000	0.9833	
3_3_97.png	1.0000	1.0000	
2_2_16.png	0.8000	0.9094	
198_207_2.png	0.0000	0.0018	
747_834_0.png	1.0000	1.0000	
8_8_15.png	1.0000	1.0000	
19_19_16.png	1.0000	1.0000	
151_157_28.png	0.0000	0.0041	
111_114_8.png	1.0000	1.0000	
25_25_77.png	1.0000	0.9975	
164_225_5.png	1.0000	1.0000	
31_31_0.png	1.0000	1.0000	
264_278_8.png	1.0000	1.0000	
8_8_44.png	1.0000	1.0000	
20_20_170.png	1.0000	0.9722	
20_20_169.png	1.0000	0.9790	
3_3_86.png	1.0000	1.0000	
147_153_2.png	1.0000	1.0000	
494_519_0.png	1.0000	1.0000	
3_3_13.png	1.0000	1.0000	
827_866_0.png	1.0000	1.0000	
3_3_45.png	1.0000	1.0000	
20_20_66.png	1.0000	0.9673	
461_566_0.png	1.0000	1.0000	
206_217_15.png	1.0000	1.0000	
3_3_120.png	1.0000	1.0000	
108_111_0.png	1.0000	0.5000	
9_9_9.png	1.0000	1.0000	
314_330_3.png	1.0000	1.0000	
562_589_1.png	1.0000	1.0000	
206_217_20.png	1.0000	1.0000	
129_414_8.png	1.0000	1.0000	
444_467_2.png	1.0000	1.0000	
25_25_64.png	1.0000	0.9975	
233_247_6.png	1.0000	1.0000	
71_72_3.png	1.0000	1.0000	
240_254_17.png	1.0000	1.0000	
20_141_10.png	1.0000	0.9831	
9_9_221.png	1.0000	1.0000	
18_160_8.png	1.0000	0.9887	
9_9_104.png	1.0000	0.9636	
111_114_6.png	1.0000	1.0000	
9_9_228.png	1.0000	1.0000	
461_486_2.png	1.0000	1.0000	
107_110_24.png	0.8000	0.8268	
747_834_2.png	1.0000	1.0000	
2_2_20.png	0.8000	0.8736	
18_18_21.png	1.0000	0.8896	
20_20_12.png	1.0000	0.9805	
172_179_4.png	1.0000	1.0000	
9_9_226.png	1.0000	1.0000	
54_54_1.png	1.0000	1.0000	
149_155_36.png	1.0000	0.9567	
25_25_52.png	1.0000	0.9975	
3_3_17.png	1.0000	1.0000	
178_233_1.png	1.0000	0.9617	
87_88_0.png	1.0000	0.7500	
6_6_1.png	1.0000	0.5000	
9_9_28.png	1.0000	0.9649	
20_20_195.png	1.0000	0.9573	
40_40_71.png	1.0000	0.9397	
381_399_3.png	1.0000	0.5000	
9_9_182.png	1.0000	1.0000	
96_98_0.png	1.0000	1.0000	
9_9_152.png	1.0000	1.0000	
21_21_3.png	1.0000	1.0000	
18_18_13.png	1.0000	0.9854	
190_198_8.png	1.0000	1.0000	
45_45_42.png	1.0000	1.0000	
57_57_18.png	0.6000	0.7155	
213_226_0.png	1.0000	1.0000	
723_758_0.png	1.0000	1.0000	
19_19_71.png	1.0000	1.0000	
20_20_128.png	1.0000	0.9864	
9_9_147.png	1.0000	1.0000	
19_19_48.png	1.0000	1.0000	
20_20_227.png	1.0000	0.9567	
391_409_0.png	1.0000	1.0000	
20_20_133.png	1.0000	0.9813	
211_683_0.png	1.0000	1.0000	
112_115_7.png	1.0000	1.0000	
794_831_18.png	1.0000	1.0000	
8_8_8.png	1.0000	1.0000	
80_81_12.png	1.0000	1.0000	
593_621_2.png	1.0000	1.0000	
225_318_13.png	0.8000	0.7714	
87_88_1.png	0.5000	0.6667	
3_3_126.png	1.0000	1.0000	
18_160_62.png	1.0000	0.9877	
19_19_41.png	1.0000	1.0000	
20_20_16.png	1.0000	0.9858	
384_402_3.png	1.0000	1.0000	
45_45_9.png	1.0000	1.0000	
136_142_3.png	1.0000	1.0000	
71_72_24.png	1.0000	1.0000	
160_167_0.png	1.0000	1.0000	
202_211_11.png	1.0000	1.0000	
40_40_55.png	1.0000	0.9397	
18_18_24.png	1.0000	0.9907	
150_156_9.png	1.0000	1.0000	
233_247_3.png	1.0000	1.0000	
509_535_0.png	1.0000	1.0000	
151_157_8.png	1.0000	0.8586	
107_110_37.png	1.0000	0.9822	
674_707_1.png	1.0000	1.0000	
78_79_1.png	1.0000	1.0000	
18_160_53.png	1.0000	0.9892	
3_3_52.png	1.0000	1.0000	
311_327_7.png	1.0000	1.0000	
395_413_2.png	1.0000	1.0000	
211_683_1.png	1.0000	1.0000	
27_27_20.png	1.0000	1.0000	
