Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.9113	0.8738	
256_270_0.png	1.0000	1.0000	
164_225_13.png	0.4000	0.5768	
160_167_14.png	0.8000	0.6048	
9_9_102.png	1.0000	0.9975	
368_384_0.png	1.0000	1.0000	
71_72_8.png	1.0000	1.0000	
944_986_4.png	1.0000	1.0000	
20_20_48.png	1.0000	0.9428	
428_449_3.png	1.0000	0.6389	
87_88_4.png	1.0000	1.0000	
225_239_0.png	0.2000	0.1404	
150_156_1.png	1.0000	1.0000	
178_185_28.png	1.0000	0.8690	
18_160_46.png	0.0000	0.5771	
3_3_54.png	1.0000	0.9978	
16_16_10.png	1.0000	1.0000	
3_3_127.png	1.0000	0.9844	
149_155_5.png	1.0000	0.9525	
359_1246_0.png	1.0000	1.0000	
20_20_144.png	1.0000	0.9791	
265_279_9.png	1.0000	0.8056	
112_115_6.png	1.0000	1.0000	
225_318_17.png	1.0000	0.8790	
21_21_1.png	1.0000	1.0000	
540_567_1.png	1.0000	1.0000	
8_8_26.png	1.0000	0.9595	
18_160_26.png	1.0000	0.9423	
150_156_20.png	1.0000	1.0000	
57_57_21.png	0.6000	0.5581	
20_20_51.png	1.0000	0.9749	
9_60_1.png	1.0000	1.0000	
281_295_1.png	1.0000	1.0000	
166_173_52.png	0.0000	0.0186	
9_9_137.png	1.0000	0.9794	
339_355_0.png	1.0000	1.0000	
2_2_14.png	0.8000	0.8274	
225_318_1.png	1.0000	0.8375	
42_42_4.png	0.8000	0.8529	
20_20_59.png	1.0000	0.9588	
20_20_92.png	1.0000	0.9779	
115_119_2.png	1.0000	0.5000	
151_157_25.png	0.8000	0.7883	
234_248_5.png	1.0000	1.0000	
136_142_6.png	1.0000	1.0000	
160_167_1.png	0.6000	0.4929	
20_20_199.png	1.0000	0.9601	
149_155_23.png	0.8000	0.5864	
166_173_49.png	0.0000	0.0407	
8_8_19.png	1.0000	0.9794	
44_44_1.png	0.8000	0.8767	
825_864_3.png	1.0000	0.5333	
216_229_6.png	1.0000	0.7000	
149_155_41.png	1.0000	0.8472	
3_3_97.png	1.0000	0.9918	
2_2_16.png	0.8000	0.8690	
198_207_2.png	0.0000	0.0014	
747_834_0.png	1.0000	1.0000	
8_8_15.png	1.0000	1.0000	
19_19_16.png	1.0000	0.9699	
151_157_28.png	0.0000	0.0040	
111_114_8.png	0.5000	0.5104	
25_25_77.png	1.0000	0.9764	
164_225_5.png	0.8000	0.8833	
31_31_0.png	1.0000	1.0000	
264_278_8.png	1.0000	1.0000	
8_8_44.png	1.0000	1.0000	
20_20_170.png	1.0000	0.9710	
20_20_169.png	1.0000	0.9771	
3_3_86.png	1.0000	0.9917	
147_153_2.png	1.0000	1.0000	
494_519_0.png	1.0000	1.0000	
3_3_13.png	1.0000	0.9960	
827_866_0.png	1.0000	1.0000	
3_3_45.png	1.0000	0.9924	
20_20_66.png	1.0000	0.9748	
461_566_0.png	0.8000	0.9429	
206_217_15.png	1.0000	1.0000	
3_3_120.png	1.0000	0.9846	
108_111_0.png	1.0000	1.0000	
9_9_9.png	1.0000	0.9822	
314_330_3.png	1.0000	1.0000	
562_589_1.png	1.0000	1.0000	
206_217_20.png	1.0000	1.0000	
129_414_8.png	0.7500	0.7778	
444_467_2.png	1.0000	1.0000	
25_25_64.png	1.0000	0.9948	
233_247_6.png	1.0000	1.0000	
71_72_3.png	1.0000	1.0000	
240_254_17.png	1.0000	1.0000	
20_141_10.png	0.8000	0.9367	
9_9_221.png	1.0000	0.9998	
18_160_8.png	1.0000	0.9179	
9_9_104.png	1.0000	0.9812	
111_114_6.png	1.0000	1.0000	
9_9_228.png	1.0000	0.9998	
461_486_2.png	0.8000	0.8850	
107_110_24.png	1.0000	0.9228	
747_834_2.png	1.0000	1.0000	
2_2_20.png	0.8000	0.8955	
18_18_21.png	1.0000	0.9375	
20_20_12.png	1.0000	0.9820	
172_179_4.png	1.0000	0.9167	
9_9_226.png	1.0000	1.0000	
54_54_1.png	1.0000	1.0000	
149_155_36.png	1.0000	0.9736	
25_25_52.png	1.0000	0.9934	
3_3_17.png	1.0000	0.9946	
178_233_1.png	0.0000	0.1882	
87_88_0.png	1.0000	0.5833	
6_6_1.png	1.0000	0.2000	
9_9_28.png	1.0000	0.9728	
20_20_195.png	0.8000	0.9379	
40_40_71.png	1.0000	0.9392	
381_399_3.png	0.0000	0.0455	
9_9_182.png	1.0000	0.9960	
96_98_0.png	1.0000	1.0000	
9_9_152.png	1.0000	1.0000	
21_21_3.png	1.0000	1.0000	
18_18_13.png	1.0000	0.8311	
190_198_8.png	1.0000	1.0000	
45_45_42.png	1.0000	0.9056	
57_57_18.png	0.6000	0.4785	
213_226_0.png	1.0000	1.0000	
723_758_0.png	0.0000	0.1667	
19_19_71.png	1.0000	0.9372	
20_20_128.png	1.0000	0.9839	
9_9_147.png	1.0000	0.9998	
19_19_48.png	1.0000	0.9685	
20_20_227.png	1.0000	0.8982	
391_409_0.png	1.0000	1.0000	
20_20_133.png	1.0000	0.9811	
211_683_0.png	1.0000	0.3667	
112_115_7.png	1.0000	1.0000	
794_831_18.png	1.0000	1.0000	
8_8_8.png	1.0000	0.9912	
80_81_12.png	1.0000	1.0000	
593_621_2.png	1.0000	1.0000	
225_318_13.png	0.8000	0.8228	
87_88_1.png	1.0000	0.8333	
3_3_126.png	1.0000	0.9901	
18_160_62.png	1.0000	0.9081	
19_19_41.png	1.0000	0.9528	
20_20_16.png	1.0000	0.9750	
384_402_3.png	1.0000	0.5000	
45_45_9.png	1.0000	0.9142	
136_142_3.png	1.0000	1.0000	
71_72_24.png	1.0000	1.0000	
160_167_0.png	1.0000	0.8114	
202_211_11.png	0.8000	0.7100	
40_40_55.png	1.0000	0.9390	
18_18_24.png	1.0000	0.8958	
150_156_9.png	1.0000	1.0000	
233_247_3.png	1.0000	1.0000	
509_535_0.png	1.0000	1.0000	
151_157_8.png	1.0000	0.8382	
107_110_37.png	0.8000	0.7603	
674_707_1.png	1.0000	1.0000	
78_79_1.png	0.8000	0.7430	
18_160_53.png	0.8000	0.7721	
3_3_52.png	1.0000	0.9937	
311_327_7.png	0.6667	0.5752	
395_413_2.png	1.0000	1.0000	
211_683_1.png	1.0000	0.4500	
27_27_20.png	1.0000	0.8875	
38_38_4.png	1.0000	1.0000	
164_225_12.png	0.8000	0.8294	
3_3_95.png	1.0000	0.9948	
506_532_1.png	1.0000	0.3333	
547_574_1.png	1.0000	1.0000	
13_13_10.png	1.0000	1.0000	
80_81_4.png	1.0000	0.8056	
18_160_61.png	1.0000	0.8478	
75_76_0.png	1.0000	1.0000	
891_933_1.png	1.0000	1.0000	
348_364_14.png	1.0000	1.0000	
461_486_3.png	1.0000	1.0000	
107_110_35.png	1.0000	0.9945	
42_42_2.png	0.8000	0.8529	
857_897_1.png	0.0000	0.0909	
45_45_17.png	1.0000	0.9332	
90_91_2.png	1.0000	1.0000	
150_156_6.png	1.0000	1.0000	
9_9_117.png	1.0000	0.9986	
101_104_7.png	1.0000	1.0000	
20_20_124.png	1.0000	0.9762	
165_203_0.png	1.0000	1.0000	
9_9_176.png	1.0000	0.9998	
3_3_32.png	1.0000	0.9885	
141_147_3.png	0.6667	0.6667	
19_19_10.png	1.0000	0.9697	
45_45_23.png	1.0000	0.9625	
19_19_36.png	1.0000	0.9713	
160_167_27.png	1.0000	0.8943	
111_114_9.png	1.0000	1.0000	
3_3_92.png	1.0000	0.9989	
827_866_1.png	1.0000	1.0000	
3_3_29.png	1.0000	0.9890	
190_198_5.png	1.0000	1.0000	
19_19_29.png	1.0000	0.9649	
265_279_2.png	1.0000	0.6389	
18_160_18.png	0.8000	0.7926	
9_9_67.png	1.0000	0.9985	
20_20_3.png	1.0000	0.9667	
61_62_4.png	0.6667	0.8095	
3_3_111.png	1.0000	0.9882	
215_228_19.png	0.2000	0.3028	
110_113_9.png	1.0000	0.4500	
184_192_5.png	1.0000	1.0000	
3_3_113.png	1.0000	0.9933	
406_426_7.png	1.0000	1.0000	
27_27_31.png	1.0000	0.9500	
9_9_185.png	1.0000	1.0000	
74_75_2.png	0.0000	0.0065	
150_156_26.png	1.0000	1.0000	
20_20_45.png	1.0000	0.9580	
20_141_15.png	1.0000	0.8314	
1_138_3.png	0.6667	0.5139	
178_185_9.png	1.0000	0.8874	
4_4_0.png	1.0000	1.0000	
20_141_14.png	0.8000	0.8347	
215_228_15.png	1.0000	0.9071	
57_57_2.png	0.6000	0.6231	
228_242_7.png	1.0000	1.0000	
147_153_0.png	1.0000	1.0000	
39_39_12.png	1.0000	1.0000	
189_197_1.png	1.0000	1.0000	
20_20_54.png	1.0000	0.9644	
466_491_1.png	1.0000	1.0000	
13_13_0.png	1.0000	1.0000	
149_326_7.png	0.6000	0.5473	
1_138_6.png	0.3333	0.3651	
240_254_18.png	1.0000	1.0000	
446_469_1.png	1.0000	1.0000	
323_339_8.png	1.0000	1.0000	
9_9_16.png	1.0000	0.9998	
18_18_4.png	0.8000	0.8309	
107_110_9.png	0.8000	0.5201	
428_449_4.png	1.0000	0.6389	
3_3_41.png	1.0000	0.9969	
9_9_155.png	1.0000	0.9969	
9_9_23.png	1.0000	0.9950	
44_44_5.png	0.8000	0.7100	
166_173_29.png	0.0000	0.0170	
20_20_187.png	1.0000	0.9643	
359_375_2.png	1.0000	1.0000	
172_179_2.png	1.0000	0.9167	
150_156_53.png	1.0000	1.0000	
444_467_0.png	1.0000	1.0000	
149_155_7.png	1.0000	1.0000	
166_173_0.png	0.2000	0.1115	
19_19_88.png	1.0000	0.9685	
20_20_39.png	1.0000	0.9183	
825_864_4.png	1.0000	0.8667	
944_986_2.png	0.5000	0.6667	
166_173_24.png	0.0000	0.0598	
178_185_7.png	1.0000	0.8874	
25_25_88.png	1.0000	0.9872	
20_20_114.png	1.0000	0.9761	
25_25_49.png	1.0000	1.0000	
234_248_8.png	1.0000	1.0000	
384_402_2.png	1.0000	0.8333	
151_157_34.png	0.4000	0.4066	
9_9_160.png	1.0000	0.9989	
138_144_1.png	1.0000	1.0000	
8_8_36.png	1.0000	0.9967	
61_62_8.png	0.6667	0.8095	
150_156_40.png	1.0000	1.0000	
166_173_44.png	0.0000	0.0250	
479_504_6.png	0.7500	0.7333	
216_229_16.png	1.0000	1.0000	
678_711_2.png	1.0000	1.0000	
20_20_143.png	1.0000	0.9706	
39_39_2.png	1.0000	1.0000	
25_25_118.png	1.0000	0.9744	
20_20_204.png	1.0000	0.9768	
840_879_2.png	1.0000	1.0000	
9_9_194.png	1.0000	1.0000	
391_409_2.png	1.0000	0.5000	
274_288_0.png	0.0000	0.0270	
646_677_2.png	1.0000	1.0000	
19_19_39.png	0.0000	0.1228	
3_3_36.png	0.2000	0.4151	
25_25_75.png	1.0000	0.9792	
20_20_34.png	1.0000	0.9826	
228_242_13.png	1.0000	1.0000	
509_535_1.png	1.0000	1.0000	
265_279_0.png	1.0000	0.8056	
78_79_6.png	0.8000	0.8413	
112_115_3.png	1.0000	1.0000	
71_72_17.png	1.0000	1.0000	
127_131_6.png	1.0000	0.9167	
294_308_1.png	1.0000	1.0000	
2_2_3.png	0.8000	0.7099	
40_40_60.png	0.0000	0.0072	
150_156_28.png	1.0000	1.0000	
9_9_79.png	1.0000	1.0000	
294_308_6.png	1.0000	1.0000	
461_566_2.png	0.8000	0.8769	
25_25_40.png	0.8000	0.7283	
3_3_122.png	1.0000	0.9978	
215_228_10.png	1.0000	1.0000	
23_23_22.png	1.0000	0.8496	
428_449_2.png	1.0000	0.9167	
178_185_25.png	0.8000	0.7323	
9_9_50.png	1.0000	0.9954	
20_20_162.png	1.0000	0.9755	
428_449_8.png	1.0000	0.6389	
18_160_29.png	1.0000	0.8973	
380_398_3.png	1.0000	1.0000	
8_8_43.png	1.0000	0.9866	
9_9_161.png	1.0000	1.0000	
3_3_9.png	1.0000	0.9543	
457_481_5.png	1.0000	1.0000	
3_3_100.png	1.0000	0.9960	
115_119_0.png	1.0000	0.5000	
151_157_19.png	0.6000	0.5615	
215_228_18.png	1.0000	1.0000	
88_89_4.png	1.0000	1.0000	
300_314_4.png	1.0000	1.0000	
240_254_0.png	1.0000	1.0000	
891_933_0.png	1.0000	1.0000	
923_965_7.png	1.0000	1.0000	
71_72_15.png	1.0000	1.0000	
44_44_0.png	0.8000	0.8100	
206_217_9.png	1.0000	1.0000	
184_192_1.png	1.0000	1.0000	
348_364_0.png	1.0000	1.0000	
39_39_13.png	1.0000	1.0000	
73_74_8.png	1.0000	1.0000	
19_19_7.png	1.0000	0.9673	
23_23_15.png	1.0000	0.8821	
166_173_15.png	0.0000	0.0336	
88_89_15.png	1.0000	1.0000	
90_91_1.png	1.0000	1.0000	
9_9_197.png	1.0000	0.9983	
40_40_8.png	1.0000	0.9391	
9_9_232.png	1.0000	1.0000	
166_173_38.png	0.0000	0.0667	
141_147_2.png	0.6667	0.7222	
19_19_54.png	1.0000	0.9708	
747_782_0.png	1.0000	1.0000	
9_9_173.png	1.0000	0.9963	
3_3_107.png	1.0000	0.9952	
225_318_11.png	0.8000	0.8339	
4_4_8.png	1.0000	0.8333	
3_3_34.png	1.0000	0.9902	
39_39_18.png	1.0000	1.0000	
193_201_3.png	1.0000	0.3333	
39_39_9.png	1.0000	1.0000	
80_81_11.png	1.0000	1.0000	
545_572_1.png	1.0000	1.0000	
19_19_55.png	1.0000	0.9709	
9_9_92.png	1.0000	1.0000	
215_228_11.png	1.0000	1.0000	
3_3_42.png	1.0000	0.9931	
138_144_9.png	1.0000	1.0000	
202_211_3.png	0.8000	0.9267	
1_138_9.png	0.6667	0.8095	
88_89_26.png	1.0000	1.0000	
16_16_14.png	1.0000	1.0000	
40_40_18.png	1.0000	0.9391	
335_351_1.png	0.6667	0.8333	
855_895_1.png	1.0000	1.0000	
225_318_0.png	1.0000	0.9503	
19_19_46.png	1.0000	0.9233	
54_54_8.png	1.0000	1.0000	
216_229_11.png	1.0000	0.4778	
111_114_2.png	1.0000	1.0000	
9_9_71.png	1.0000	0.9957	
2_2_9.png	0.8000	0.8753	
9_9_99.png	1.0000	1.0000	
386_404_1.png	1.0000	1.0000	
308_323_1.png	1.0000	1.0000	
8_8_48.png	1.0000	1.0000	
25_25_96.png	1.0000	0.9912	
107_110_36.png	1.0000	0.6860	
19_19_58.png	1.0000	0.9654	
20_20_126.png	1.0000	0.9239	
794_831_8.png	1.0000	1.0000	
19_19_3.png	1.0000	0.9634	
198_207_4.png	0.0000	0.0012	
44_44_6.png	0.8000	0.8767	
9_9_135.png	1.0000	1.0000	
39_39_29.png	1.0000	1.0000	
111_114_1.png	1.0000	1.0000	
40_40_51.png	1.0000	0.9392	
794_831_16.png	1.0000	1.0000	
107_110_21.png	1.0000	0.9198	
9_9_37.png	1.0000	1.0000	
20_141_6.png	1.0000	0.8645	
8_8_45.png	1.0000	0.9967	
18_160_31.png	1.0000	0.9254	
71_72_13.png	1.0000	1.0000	
9_9_229.png	1.0000	0.9908	
9_9_213.png	1.0000	0.9976	
9_9_7.png	1.0000	0.9988	
796_1223_0.png	1.0000	0.5000	
402_422_1.png	1.0000	1.0000	
9_9_167.png	1.0000	0.9986	
78_191_0.png	0.0000	0.1287	
80_81_13.png	1.0000	1.0000	
45_45_26.png	1.0000	0.8289	
110_113_3.png	1.0000	0.5833	
13_13_21.png	1.0000	1.0000	
71_72_25.png	1.0000	1.0000	
3_3_1.png	1.0000	0.9907	
323_339_2.png	1.0000	1.0000	
9_9_82.png	1.0000	0.9998	
4_4_11.png	1.0000	0.5833	
3_3_137.png	1.0000	0.9930	
968_1010_0.png	1.0000	1.0000	
25_25_38.png	1.0000	0.9904	
9_9_114.png	1.0000	0.9941	
228_242_0.png	1.0000	1.0000	
25_25_22.png	1.0000	0.9898	
151_157_2.png	0.6000	0.4767	
3_3_133.png	1.0000	0.9748	
178_185_27.png	0.6000	0.5240	
23_524_1.png	0.0000	0.0267	
20_20_163.png	1.0000	0.9717	
141_147_8.png	1.0000	0.8056	
19_19_67.png	1.0000	0.9618	
200_209_4.png	1.0000	1.0000	
8_8_24.png	1.0000	0.9938	
165_172_0.png	1.0000	1.0000	
216_229_2.png	1.0000	1.0000	
774_811_0.png	1.0000	1.0000	
151_157_41.png	0.6000	0.6109	
494_519_1.png	1.0000	1.0000	
57_57_7.png	0.6000	0.5421	
108_111_1.png	1.0000	1.0000	
2_2_15.png	1.0000	0.9821	
457_481_1.png	1.0000	1.0000	
20_141_3.png	1.0000	0.9427	
19_19_94.png	1.0000	0.9642	
45_45_45.png	1.0000	0.9833	
23_23_5.png	1.0000	0.8500	
3_3_16.png	1.0000	0.9983	
61_62_5.png	0.0000	0.0465	
20_20_97.png	1.0000	0.8605	
593_621_3.png	1.0000	1.0000	
138_144_7.png	1.0000	1.0000	
160_167_2.png	0.0000	0.0779	
9_9_162.png	1.0000	0.9998	
25_25_104.png	1.0000	0.9950	
149_155_19.png	1.0000	0.9433	
25_25_114.png	1.0000	0.9413	
3_3_0.png	1.0000	0.9905	
19_19_18.png	1.0000	0.9556	
483_508_0.png	1.0000	1.0000	
149_155_16.png	0.2000	0.3329	
2_2_22.png	0.8000	0.8844	
3_3_70.png	1.0000	0.9968	
18_160_36.png	1.0000	0.9179	
93_627_0.png	0.0000	0.0556	
308_323_0.png	1.0000	1.0000	
18_160_17.png	1.0000	0.8500	
78_79_4.png	0.8000	0.7572	
37_37_3.png	1.0000	1.0000	
20_20_115.png	1.0000	0.9791	
150_156_55.png	1.0000	1.0000	
129_133_0.png	0.5000	0.4071	
20_20_22.png	0.8000	0.9548	
54_54_3.png	0.0000	0.0972	
6_6_3.png	1.0000	0.3333	
57_57_31.png	0.6000	0.6016	
380_398_2.png	1.0000	1.0000	
732_767_1.png	1.0000	1.0000	
110_113_13.png	1.0000	0.5000	
25_25_105.png	1.0000	0.9085	
380_398_6.png	1.0000	1.0000	
9_9_53.png	1.0000	0.9967	
461_566_1.png	0.8000	0.8909	
20_20_9.png	0.8000	0.9504	
20_20_58.png	1.0000	0.9816	
160_167_21.png	0.6000	0.5583	
20_20_65.png	1.0000	0.9793	
386_404_5.png	1.0000	1.0000	
165_203_3.png	1.0000	1.0000	
348_364_15.png	1.0000	1.0000	
164_225_10.png	0.8000	0.9029	
723_758_2.png	0.0000	0.1429	
63_64_1.png	1.0000	1.0000	
151_157_4.png	0.8000	0.7073	
240_254_6.png	1.0000	1.0000	
726_761_2.png	1.0000	1.0000	
335_351_3.png	1.0000	0.9167	
678_711_3.png	1.0000	1.0000	
40_40_67.png	1.0000	0.9353	
335_351_0.png	1.0000	0.9167	
40_40_68.png	1.0000	0.9392	
311_327_0.png	1.0000	0.8056	
457_481_4.png	1.0000	1.0000	
446_469_0.png	1.0000	1.0000	
20_20_166.png	1.0000	0.9246	
19_19_23.png	1.0000	0.9660	
107_110_11.png	0.8000	0.6274	
213_226_1.png	1.0000	1.0000	
461_566_4.png	0.8000	0.8714	
96_1106_1.png	1.0000	0.9167	
368_384_1.png	1.0000	1.0000	
63_64_0.png	1.0000	1.0000	
23_23_20.png	1.0000	0.8877	
20_20_160.png	1.0000	0.9798	
381_399_5.png	0.0000	0.0588	
71_72_6.png	1.0000	1.0000	
147_153_4.png	1.0000	1.0000	
20_20_167.png	1.0000	0.9482	
29_29_2.png	1.0000	1.0000	
9_9_231.png	1.0000	0.9981	
20_20_105.png	1.0000	0.9829	
150_156_25.png	1.0000	1.0000	
794_831_2.png	1.0000	1.0000	
479_504_5.png	0.7500	0.8929	
562_589_0.png	1.0000	1.0000	
402_422_0.png	1.0000	1.0000	
25_25_67.png	0.8000	0.8017	
359_375_0.png	1.0000	1.0000	
20_20_72.png	1.0000	0.9366	
5_5_0.png	1.0000	1.0000	
