Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.7980	0.6871	
THEY	1.0000	0.9323	
NICHOLAS	1.0000	1.0000	
IMMEDIATELY.	1.0000	1.0000	
HIM	1.0000	0.2500	
OBLIGED	1.0000	1.0000	
ORDERS.	0.5000	0.5833	
11TH.	0.0000	0.0500	
GREAT-	1.0000	0.2000	
WILLIAMS,	1.0000	1.0000	
VIRGINIA	1.0000	1.0000	
SAFETY:	1.0000	1.0000	
ONLY	1.0000	1.0000	
APPREHENDED	1.0000	1.0000	
IT:	0.0000	0.0089	
NEXT	1.0000	0.3333	
ME	0.5000	0.5909	
BE	0.8000	0.6889	
ELSE.	1.0000	0.5000	
BUSHEL	1.0000	1.0000	
ASSEMBLY	1.0000	1.0000	
CONVEYANCE	1.0000	1.0000	
AM	0.3333	0.2561	
IMPATIENTLY	1.0000	1.0000	
MERCER	0.0000	0.1667	
VERY	0.7500	0.6918	
HAND	1.0000	0.3333	
SILVER:	1.0000	1.0000	
ATTENDANCE	1.0000	1.0000	
PROVISIONS,	1.0000	1.0000	
SHOES	1.0000	1.0000	
IN-	0.0000	0.0028	
IF	0.8000	0.7857	
SEND	1.0000	0.9167	
OUR	1.0000	0.7556	
CIRCUM-	1.0000	1.0000	
STORE.	1.0000	0.3333	
SLIP	1.0000	1.0000	
YOU;	1.0000	1.0000	
THEM.	1.0000	0.3333	
GREATLY	1.0000	1.0000	
BALANCE	1.0000	1.0000	
RECRUITING	1.0000	1.0000	
CONTRACTED	1.0000	1.0000	
ILL,	1.0000	1.0000	
IN,	1.0000	1.0000	
GRAIN	1.0000	1.0000	
FOR	1.0000	0.9475	
APPLYING	1.0000	1.0000	
EVERY	1.0000	1.0000	
DONE	1.0000	1.0000	
COMMONALTY	1.0000	1.0000	
309.	0.0000	0.0833	
NO	0.2500	0.2021	
MOST	1.0000	0.5000	
GOLD	1.0000	0.3333	
HOW	0.5000	0.5071	
THAN	0.6667	0.7500	
DECEMBER	1.0000	1.0000	
WAISTCOATS,	1.0000	1.0000	
MILITARY	0.0000	0.1429	
GAGE	1.0000	1.0000	
SECURE	1.0000	1.0000	
CARE	1.0000	1.0000	
OFFICER	1.0000	0.5000	
SERGEANT,	1.0000	0.8333	
RIVAL	1.0000	1.0000	
ATELY	1.0000	0.5000	
RECEIPT	1.0000	0.5000	
WHEN	1.0000	1.0000	
ALEXANDRI-	0.0000	0.1429	
WRITTEN	1.0000	1.0000	
ORDER.	1.0000	1.0000	
WILPER,	1.0000	1.0000	
KNOW,	0.0000	0.0200	
UNDER	0.5000	0.6071	
MYSELF.	0.0000	0.1111	
OFTEN	1.0000	0.7000	
BEST	1.0000	1.0000	
HUNDRED	1.0000	1.0000	
ACT	0.0000	0.0208	
EXPEDITIOUSLY	1.0000	1.0000	
PART	1.0000	0.2000	
MEN,	0.0000	0.0769	
BEING	1.0000	1.0000	
CATTLE	1.0000	1.0000	
REASONABLE	1.0000	1.0000	
DO	1.0000	0.2500	
LETTERS,	0.5000	0.6417	
LIEUTENANT	1.0000	1.0000	
WHO	1.0000	1.0000	
DAY	1.0000	1.0000	
WAIT	1.0000	0.3333	
1755	1.0000	0.7000	
SUPPORT	1.0000	1.0000	
LITTLE	1.0000	1.0000	
WITH	0.8000	0.8767	
WROTE	1.0000	0.5000	
NINE	1.0000	1.0000	
N.B.	0.0000	0.1250	
APPEAR	1.0000	1.0000	
CARRY.	1.0000	0.5000	
GENERAL	1.0000	1.0000	
DEAD,	1.0000	1.0000	
TRADE,	1.0000	1.0000	
MAN	1.0000	1.0000	
COLONEL	1.0000	0.3333	
MEN;	1.0000	0.3333	
HIM,	1.0000	1.0000	
BERLAND,	1.0000	1.0000	
TAKE	1.0000	1.0000	
WORK.	1.0000	0.2500	
GLAD	1.0000	1.0000	
SO	0.5000	0.5769	
EACH	1.0000	1.0000	
WAY,	1.0000	1.0000	
STORE:	1.0000	0.5000	
ADVISABLE	1.0000	1.0000	
SUBALTERN,	1.0000	1.0000	
GREATER	1.0000	1.0000	
TING;	0.0000	0.1667	
CUMBERLAND	1.0000	0.3333	
MANY	0.6667	0.7143	
DELIVERED	1.0000	0.5000	
RECRUI-	0.0000	0.0714	
DISCIPLINE,	1.0000	1.0000	
TWENTY	1.0000	1.0000	
RECEIVE	1.0000	1.0000	
5TH.	0.0000	0.0014	
APPOINTED.	1.0000	1.0000	
COPY	1.0000	0.2000	
CARE-	1.0000	0.5000	
KEEPING	1.0000	0.5000	
WITH.	1.0000	1.0000	
HOSPITAL,	1.0000	1.0000	
DOCTOR	1.0000	0.2500	
29TH.	1.0000	0.4500	
RECRUITS	0.5000	0.6667	
COUNT	1.0000	1.0000	
PURSUING	1.0000	1.0000	
TER;	1.0000	0.2000	
ROBERT	0.0000	0.0250	
SUPPLY	1.0000	1.0000	
REGIMENT	1.0000	0.8333	
JOHN	0.5000	0.6111	
DOWN	1.0000	0.5000	
DIRECT	1.0000	1.0000	
WHETHER	1.0000	1.0000	
THIS	1.0000	0.8561	
CARRY	1.0000	0.7500	
THOUSAND	1.0000	1.0000	
ARMS	0.5000	0.5556	
AND	1.0000	0.9566	
REGIMENT,	1.0000	1.0000	
LETTERS	0.5000	0.3738	
MOUNT	1.0000	1.0000	
YOURSELF	1.0000	0.8333	
KNEW	1.0000	1.0000	
SEE	0.8000	0.8556	
A	0.8000	0.6308	
GIVEN	0.6000	0.6703	
WOULD	0.6667	0.6852	
CAME	1.0000	1.0000	
FORT;	0.0000	0.0182	
PRESENT,	1.0000	1.0000	
PLACE	1.0000	0.5000	
CON-	0.0000	0.1429	
WAGGON	1.0000	0.5000	
BREAD;	1.0000	1.0000	
ABOVE,	0.0000	0.1111	
MAJOR,	0.0000	0.0035	
HONOUR,	0.0000	0.1667	
RELIEVED	1.0000	0.5000	
HOUSE	1.0000	1.0000	
ARRIVED	1.0000	1.0000	
17TH.	0.0000	0.0030	
SOLUTE	1.0000	1.0000	
INTEN-	1.0000	1.0000	
RAISE	0.0000	0.1667	
SENT,	1.0000	0.3333	
OVER	1.0000	1.0000	
HONOUR	0.5000	0.5345	
TAIN	1.0000	1.0000	
IGNORANCE	1.0000	1.0000	
ALEXANDRIA	1.0000	1.0000	
COM-	0.5000	0.1625	
MANUAL	1.0000	1.0000	
AC-	0.5000	0.2567	
