Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.9748	0.9671	
kq0102.jpg	1.0000	1.0000	
kq0090.jpg	1.0000	0.9822	
kq0109.jpg	1.0000	1.0000	
kq0190.jpg	1.0000	1.0000	
kq0085.jpg	1.0000	0.9650	
kq0116.jpg	1.0000	1.0000	
kq0168.jpg	1.0000	1.0000	
kq0142.jpg	1.0000	1.0000	
kq0128.jpg	0.8000	0.8828	
kq0026.jpg	1.0000	1.0000	
kq0124.jpg	0.8000	0.9667	
kq0129.jpg	0.8000	0.8924	
kq0158.jpg	1.0000	0.9444	
kq0095.jpg	1.0000	1.0000	
kq0106.jpg	1.0000	1.0000	
kq0069.jpg	1.0000	1.0000	
kq0164.jpg	1.0000	1.0000	
kq0154.jpg	1.0000	1.0000	
kq0043.jpg	1.0000	0.9729	
kq0063.jpg	1.0000	1.0000	
kq0015.jpg	1.0000	1.0000	
kq0060.jpg	1.0000	1.0000	
kq0096.jpg	1.0000	1.0000	
kq0141.jpg	1.0000	1.0000	
kq0172.jpg	0.8000	0.8100	
kq0056.jpg	1.0000	1.0000	
kq0122.jpg	1.0000	0.9500	
kq0193.jpg	1.0000	0.9394	
kq0022.jpg	1.0000	1.0000	
kq0146.jpg	0.8000	0.8238	
kq0200.jpg	1.0000	1.0000	
kq0145.jpg	0.8000	0.8089	
kq0100.jpg	1.0000	0.9167	
kq0099.jpg	1.0000	1.0000	
kq0012.jpg	1.0000	1.0000	
kq0070.jpg	1.0000	1.0000	
kq0092.jpg	0.6667	0.6806	
kq0093.jpg	1.0000	1.0000	
kq0057.jpg	1.0000	1.0000	
kq0033.jpg	1.0000	1.0000	
kq0035.jpg	1.0000	1.0000	
kq0197.jpg	1.0000	1.0000	
kq0097.jpg	1.0000	1.0000	
kq0117.jpg	1.0000	0.8056	
kq0156.jpg	1.0000	1.0000	
kq0196.jpg	1.0000	1.0000	
kq0126.jpg	1.0000	1.0000	
kq0071.jpg	1.0000	1.0000	
kq0059.jpg	1.0000	1.0000	
kq0020.jpg	1.0000	0.8667	
kq0007.jpg	1.0000	1.0000	
kq0131.jpg	1.0000	0.9427	
kq0047.jpg	1.0000	1.0000	
kq0101.jpg	1.0000	1.0000	
kq0175.jpg	1.0000	1.0000	
kq0091.jpg	1.0000	1.0000	
kq0011.jpg	1.0000	0.9821	
kq0186.jpg	1.0000	1.0000	
kq0009.jpg	1.0000	0.9821	
kq0121.jpg	1.0000	1.0000	
kq0153.jpg	1.0000	1.0000	
kq0112.jpg	1.0000	1.0000	
kq0068.jpg	1.0000	1.0000	
kq0028.jpg	1.0000	1.0000	
kq0194.jpg	1.0000	0.9385	
kq0165.jpg	1.0000	1.0000	
kq0052.jpg	1.0000	1.0000	
kq0016.jpg	1.0000	1.0000	
kq0054.jpg	1.0000	1.0000	
kq0010.jpg	1.0000	0.9821	
kq0138.jpg	1.0000	1.0000	
kq0191.jpg	1.0000	0.9385	
kq0019.jpg	1.0000	1.0000	
kq0130.jpg	0.8000	0.9067	
kq0152.jpg	1.0000	0.9980	
kq0031.jpg	1.0000	1.0000	
kq0066.jpg	1.0000	1.0000	
kq0021.jpg	1.0000	1.0000	
kq0104.jpg	1.0000	1.0000	
kq0139.jpg	1.0000	1.0000	
kq0188.jpg	1.0000	1.0000	
kq0183.jpg	1.0000	1.0000	
kq0140.jpg	1.0000	1.0000	
kq0180.jpg	1.0000	1.0000	
kq0123.jpg	1.0000	1.0000	
kq0080.jpg	1.0000	1.0000	
kq0083.jpg	1.0000	0.9874	
kq0184.jpg	1.0000	1.0000	
kq0084.jpg	1.0000	0.9883	
kq0030.jpg	1.0000	1.0000	
kq0098.jpg	1.0000	1.0000	
kq0014.jpg	1.0000	1.0000	
kq0189.jpg	1.0000	1.0000	
kq0077.jpg	1.0000	1.0000	
kq0135.jpg	0.6667	0.5714	
kq0149.jpg	1.0000	0.9570	
kq0023.jpg	1.0000	1.0000	
kq0018.jpg	1.0000	1.0000	
kq0119.jpg	0.8000	0.9667	
kq0185.jpg	1.0000	1.0000	
kq0032.jpg	1.0000	1.0000	
kq0113.jpg	1.0000	1.0000	
kq0144.jpg	1.0000	0.8875	
kq0067.jpg	1.0000	1.0000	
kq0072.jpg	1.0000	1.0000	
kq0051.jpg	1.0000	1.0000	
kq0107.jpg	1.0000	0.8056	
kq0087.jpg	1.0000	0.9834	
kq0105.jpg	1.0000	1.0000	
kq0147.jpg	0.8000	0.8115	
kq0167.jpg	1.0000	1.0000	
kq0040.jpg	1.0000	0.9729	
kq0027.jpg	1.0000	1.0000	
kq0134.jpg	0.8000	0.8848	
kq0103.jpg	0.7500	0.7744	
kq0006.jpg	1.0000	1.0000	
kq0038.jpg	1.0000	0.9736	
kq0073.jpg	1.0000	1.0000	
kq0181.jpg	1.0000	0.7000	
kq0125.jpg	1.0000	0.8056	
kq0055.jpg	1.0000	1.0000	
kq0046.jpg	1.0000	1.0000	
kq0029.jpg	1.0000	1.0000	
kq0108.jpg	1.0000	1.0000	
kq0111.jpg	1.0000	1.0000	
kq0025.jpg	1.0000	1.0000	
kq0034.jpg	0.6667	0.8095	
kq0177.jpg	1.0000	1.0000	
kq0178.jpg	1.0000	1.0000	
kq0013.jpg	1.0000	1.0000	
kq0203.jpg	1.0000	1.0000	
kq0042.jpg	1.0000	0.9738	
kq0162.jpg	1.0000	0.7556	
kq0170.jpg	1.0000	1.0000	
kq0110.jpg	1.0000	1.0000	
kq0202.jpg	1.0000	1.0000	
kq0176.jpg	1.0000	1.0000	
kq0192.jpg	1.0000	0.9385	
kq0160.jpg	1.0000	0.8875	
kq0161.jpg	1.0000	1.0000	
kq0075.jpg	1.0000	0.9842	
kq0094.jpg	1.0000	1.0000	
kq0053.jpg	0.6667	0.8095	
kq0118.jpg	1.0000	1.0000	
kq0048.jpg	0.8000	0.8100	
kq0120.jpg	1.0000	1.0000	
kq0050.jpg	1.0000	1.0000	
kq0114.jpg	1.0000	1.0000	
kq0132.jpg	1.0000	0.9371	
kq0174.jpg	1.0000	1.0000	
kq0036.jpg	1.0000	0.9731	
kq0133.jpg	0.8000	0.8924	
kq0150.jpg	1.0000	0.9960	
kq0004.jpg	1.0000	1.0000	
kq0078.jpg	1.0000	1.0000	
kq0086.jpg	1.0000	0.9910	
kq0187.jpg	1.0000	1.0000	
kq0169.jpg	1.0000	1.0000	
kq0199.jpg	1.0000	1.0000	
