Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.7878	0.7695	
kq0102.jpg	1.0000	1.0000	
kq0090.jpg	0.2000	0.2412	
kq0109.jpg	0.8000	0.9267	
kq0190.jpg	1.0000	0.9392	
kq0085.jpg	1.0000	0.5793	
kq0116.jpg	0.8000	0.7165	
kq0168.jpg	1.0000	1.0000	
kq0142.jpg	0.7500	0.8750	
kq0128.jpg	0.2000	0.2100	
kq0026.jpg	1.0000	1.0000	
kq0124.jpg	0.8000	0.9267	
kq0129.jpg	1.0000	0.7795	
kq0158.jpg	0.8000	0.7333	
kq0095.jpg	0.6000	0.8105	
kq0106.jpg	0.6000	0.7962	
kq0069.jpg	0.5000	0.6384	
kq0164.jpg	1.0000	1.0000	
kq0154.jpg	1.0000	0.8762	
kq0043.jpg	1.0000	0.6193	
kq0063.jpg	0.6000	0.7238	
kq0015.jpg	1.0000	1.0000	
kq0060.jpg	0.8000	0.9056	
kq0096.jpg	0.2000	0.2417	
kq0141.jpg	0.2500	0.2896	
kq0172.jpg	0.2000	0.2170	
kq0056.jpg	1.0000	0.8860	
kq0122.jpg	0.7500	0.6951	
kq0193.jpg	1.0000	0.8983	
kq0022.jpg	0.6000	0.7047	
kq0146.jpg	0.4000	0.5309	
kq0200.jpg	1.0000	0.7153	
kq0145.jpg	0.6000	0.5322	
kq0100.jpg	0.6667	0.6944	
kq0099.jpg	0.6667	0.7222	
kq0012.jpg	0.8000	0.9667	
kq0070.jpg	0.4000	0.5812	
kq0092.jpg	0.3333	0.4318	
kq0093.jpg	0.8000	0.8556	
kq0057.jpg	1.0000	1.0000	
kq0033.jpg	0.7500	0.7986	
kq0035.jpg	0.6667	0.6806	
kq0197.jpg	0.8000	0.6119	
kq0097.jpg	0.6000	0.7125	
kq0117.jpg	1.0000	0.8667	
kq0156.jpg	0.7500	0.7500	
kq0196.jpg	1.0000	0.7733	
kq0126.jpg	1.0000	1.0000	
kq0071.jpg	0.4000	0.3767	
kq0059.jpg	0.6000	0.7619	
kq0020.jpg	1.0000	0.9167	
kq0007.jpg	1.0000	1.0000	
kq0131.jpg	0.8000	0.7114	
kq0047.jpg	1.0000	1.0000	
kq0101.jpg	1.0000	1.0000	
kq0175.jpg	0.8000	0.7995	
kq0091.jpg	0.6667	0.7255	
kq0011.jpg	0.8000	0.8600	
