Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.5499	0.5108	
kq0102.jpg	0.5000	0.5160	
kq0090.jpg	0.8000	0.7383	
kq0109.jpg	0.6000	0.5923	
kq0190.jpg	1.0000	0.7611	
kq0085.jpg	0.8000	0.6268	
kq0116.jpg	0.6000	0.4852	
kq0168.jpg	0.6000	0.8333	
kq0142.jpg	0.5000	0.5710	
kq0128.jpg	0.2000	0.0929	
kq0026.jpg	0.4000	0.6425	
kq0124.jpg	0.6000	0.6554	
kq0129.jpg	0.2000	0.0957	
kq0158.jpg	0.6000	0.6912	
kq0095.jpg	0.4000	0.4037	
kq0106.jpg	0.4000	0.3941	
kq0069.jpg	0.5000	0.5477	
kq0164.jpg	1.0000	0.9500	
kq0154.jpg	0.2000	0.1834	
kq0043.jpg	1.0000	0.5965	
kq0063.jpg	0.2000	0.2257	
kq0015.jpg	0.7500	0.7375	
kq0060.jpg	0.2000	0.2609	
kq0096.jpg	0.2000	0.2051	
kq0141.jpg	0.2500	0.2877	
kq0172.jpg	0.2000	0.2121	
kq0056.jpg	0.4000	0.4166	
kq0122.jpg	0.7500	0.7610	
kq0193.jpg	0.2000	0.3209	
kq0022.jpg	0.6000	0.6707	
kq0146.jpg	0.2000	0.2892	
kq0200.jpg	0.8000	0.5378	
kq0145.jpg	0.4000	0.4499	
kq0100.jpg	0.3333	0.3477	
kq0099.jpg	0.3333	0.3675	
kq0012.jpg	0.8000	0.9667	
kq0070.jpg	0.2000	0.2067	
kq0092.jpg	0.3333	0.3843	
kq0093.jpg	0.8000	0.7292	
kq0057.jpg	0.7500	0.7506	
kq0033.jpg	0.7500	0.6756	
kq0035.jpg	0.6667	0.7167	
kq0197.jpg	0.2000	0.1222	
kq0097.jpg	0.2000	0.3393	
kq0117.jpg	1.0000	1.0000	
kq0156.jpg	0.5000	0.5252	
kq0196.jpg	1.0000	0.6641	
