Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.5583	0.5273	
kq0102.jpg	0.5000	0.5326	
kq0090.jpg	0.8000	0.5666	
kq0109.jpg	0.4000	0.6101	
kq0190.jpg	1.0000	0.7599	
kq0085.jpg	0.6000	0.3643	
kq0116.jpg	0.4000	0.4293	
kq0168.jpg	0.8000	0.8850	
kq0142.jpg	0.5000	0.5244	
kq0128.jpg	0.2000	0.1338	
kq0026.jpg	0.8000	0.7933	
kq0124.jpg	0.4000	0.4305	
kq0129.jpg	1.0000	0.6625	
kq0158.jpg	0.6000	0.5902	
kq0095.jpg	1.0000	0.8590	
kq0106.jpg	0.2000	0.2315	
kq0069.jpg	1.0000	0.9500	
kq0164.jpg	0.5000	0.6429	
kq0154.jpg	0.4000	0.3976	
kq0043.jpg	0.4000	0.2222	
kq0063.jpg	0.2000	0.4020	
kq0015.jpg	0.2500	0.2912	
kq0060.jpg	0.6000	0.5968	
kq0096.jpg	0.2000	0.2017	
kq0141.jpg	0.7500	0.7012	
kq0172.jpg	0.2000	0.2522	
kq0056.jpg	0.4000	0.3286	
kq0122.jpg	0.5000	0.5649	
kq0193.jpg	0.8000	0.8146	
kq0022.jpg	0.4000	0.4015	
kq0146.jpg	0.2000	0.2838	
kq0200.jpg	1.0000	0.6729	
kq0145.jpg	0.4000	0.3324	
kq0100.jpg	0.6667	0.5037	
kq0099.jpg	0.3333	0.3521	
kq0012.jpg	0.4000	0.6101	
kq0070.jpg	0.8000	0.7554	
kq0092.jpg	0.3333	0.3728	
kq0093.jpg	0.2000	0.2582	
kq0057.jpg	0.5000	0.5380	
kq0033.jpg	0.5000	0.7071	
kq0035.jpg	0.6667	0.7576	
kq0197.jpg	0.2000	0.1319	
kq0097.jpg	0.4000	0.5057	
kq0117.jpg	1.0000	0.7000	
kq0156.jpg	0.5000	0.6393	
kq0196.jpg	0.8000	0.5038	
kq0126.jpg	1.0000	1.0000	
kq0071.jpg	0.8000	0.6556	
kq0059.jpg	0.6000	0.5667	
