Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.8610	0.8396	
kq0102.jpg	1.0000	0.9500	
kq0090.jpg	0.2000	0.2141	
kq0109.jpg	1.0000	1.0000	
kq0190.jpg	1.0000	0.9971	
kq0085.jpg	1.0000	0.8071	
kq0116.jpg	0.8000	0.6726	
kq0168.jpg	0.8000	0.8850	
kq0142.jpg	0.7500	0.8750	
kq0128.jpg	1.0000	0.8474	
kq0026.jpg	1.0000	1.0000	
kq0124.jpg	0.8000	0.8189	
kq0129.jpg	0.8000	0.7751	
kq0158.jpg	0.8000	0.6976	
kq0095.jpg	0.8000	0.8774	
kq0106.jpg	0.8000	0.9029	
kq0069.jpg	1.0000	1.0000	
kq0164.jpg	1.0000	1.0000	
kq0154.jpg	1.0000	0.7791	
kq0043.jpg	1.0000	0.7902	
kq0063.jpg	0.6000	0.7788	
kq0015.jpg	1.0000	1.0000	
kq0060.jpg	1.0000	1.0000	
kq0096.jpg	0.2000	0.2803	
kq0141.jpg	0.5000	0.4423	
kq0172.jpg	0.4000	0.5427	
kq0056.jpg	1.0000	0.9762	
kq0122.jpg	0.7500	0.7875	
kq0193.jpg	0.8000	0.8570	
kq0022.jpg	0.8000	0.8635	
kq0146.jpg	0.2000	0.2853	
kq0200.jpg	1.0000	0.8809	
kq0145.jpg	0.8000	0.7878	
kq0100.jpg	0.6667	0.6961	
kq0099.jpg	0.3333	0.4596	
kq0012.jpg	1.0000	1.0000	
kq0070.jpg	0.4000	0.5195	
kq0092.jpg	0.3333	0.4444	
kq0093.jpg	0.8000	0.8617	
kq0057.jpg	1.0000	1.0000	
kq0033.jpg	0.7500	0.7875	
kq0035.jpg	1.0000	0.7000	
kq0197.jpg	1.0000	0.8971	
kq0097.jpg	0.8000	0.9000	
kq0117.jpg	1.0000	1.0000	
kq0156.jpg	1.0000	1.0000	
kq0196.jpg	1.0000	0.9494	
kq0126.jpg	1.0000	1.0000	
kq0071.jpg	0.8000	0.8502	
kq0059.jpg	0.8000	0.6626	
kq0020.jpg	1.0000	0.8667	
kq0007.jpg	1.0000	1.0000	
kq0131.jpg	1.0000	0.8825	
kq0047.jpg	1.0000	1.0000	
kq0101.jpg	0.7500	0.8500	
kq0175.jpg	0.8000	0.8202	
kq0091.jpg	1.0000	1.0000	
kq0011.jpg	0.8000	0.8260	
kq0186.jpg	1.0000	0.9551	
kq0009.jpg	0.6000	0.5849	
kq0121.jpg	1.0000	1.0000	
kq0153.jpg	1.0000	0.8361	
kq0112.jpg	1.0000	1.0000	
kq0068.jpg	0.6667	0.7667	
kq0028.jpg	1.0000	1.0000	
kq0194.jpg	1.0000	0.8668	
kq0165.jpg	1.0000	1.0000	
kq0052.jpg	0.8000	0.8231	
kq0016.jpg	1.0000	1.0000	
kq0054.jpg	1.0000	1.0000	
kq0010.jpg	1.0000	0.8595	
kq0138.jpg	0.8000	0.8238	
kq0191.jpg	1.0000	0.8907	
kq0019.jpg	1.0000	1.0000	
kq0130.jpg	0.8000	0.8374	
kq0152.jpg	1.0000	0.9980	
kq0031.jpg	1.0000	1.0000	
kq0066.jpg	1.0000	1.0000	
kq0021.jpg	1.0000	0.9583	
kq0104.jpg	0.8000	0.9667	
kq0139.jpg	1.0000	1.0000	
kq0188.jpg	1.0000	0.9872	
kq0183.jpg	1.0000	0.9971	
kq0140.jpg	1.0000	1.0000	
kq0180.jpg	1.0000	0.9167	
kq0123.jpg	0.8000	0.8244	
kq0080.jpg	0.8000	0.7933	
