Setting the Overlap Threshold to 0.5
Reading Relevance Judgment XML File...SUCCESS!
Reading Results XML File...SUCCESS!
Calculating the Evaluation Metrics...
Result Output:
Query	P@5	MAP	
ALL	0.8067	0.7871	
kq0102.jpg	0.7500	0.8929	
kq0090.jpg	0.8000	0.5649	
kq0109.jpg	1.0000	1.0000	
kq0190.jpg	1.0000	0.9448	
kq0085.jpg	0.8000	0.4666	
kq0116.jpg	0.4000	0.4683	
kq0168.jpg	0.8000	0.8100	
kq0142.jpg	1.0000	0.8875	
kq0128.jpg	0.8000	0.7087	
kq0026.jpg	1.0000	1.0000	
kq0124.jpg	0.8000	0.8588	
kq0129.jpg	0.8000	0.7984	
kq0158.jpg	0.8000	0.8207	
kq0095.jpg	0.8000	0.8833	
kq0106.jpg	0.6000	0.7417	
kq0069.jpg	0.5000	0.5488	
kq0164.jpg	1.0000	1.0000	
kq0154.jpg	1.0000	0.9325	
kq0043.jpg	1.0000	0.8953	
kq0063.jpg	0.6000	0.7300	
kq0015.jpg	0.7500	0.8611	
kq0060.jpg	0.8000	0.7270	
kq0096.jpg	0.2000	0.2361	
kq0141.jpg	0.5000	0.6707	
kq0172.jpg	0.8000	0.7600	
kq0056.jpg	1.0000	1.0000	
kq0122.jpg	0.7500	0.7260	
kq0193.jpg	1.0000	0.9090	
kq0022.jpg	1.0000	1.0000	
kq0146.jpg	0.6000	0.6117	
kq0200.jpg	1.0000	0.7262	
kq0145.jpg	0.4000	0.4852	
kq0100.jpg	0.6667	0.7051	
kq0099.jpg	0.3333	0.3507	
kq0012.jpg	0.8000	0.8100	
kq0070.jpg	0.4000	0.4360	
kq0092.jpg	0.3333	0.4365	
kq0093.jpg	1.0000	1.0000	
kq0057.jpg	1.0000	1.0000	
kq0033.jpg	0.7500	0.8026	
kq0035.jpg	1.0000	0.8667	
kq0197.jpg	0.6000	0.5659	
kq0097.jpg	0.6000	0.6379	
kq0117.jpg	1.0000	0.8667	
kq0156.jpg	0.7500	0.8500	
kq0196.jpg	1.0000	0.7272	
kq0126.jpg	1.0000	1.0000	
kq0071.jpg	0.6000	0.6367	
kq0059.jpg	0.6000	0.5971	
kq0020.jpg	0.6667	0.7576	
kq0007.jpg	1.0000	0.9167	
kq0131.jpg	0.8000	0.7761	
kq0047.jpg	1.0000	1.0000	
kq0101.jpg	0.7500	0.9167	
kq0175.jpg	1.0000	0.9273	
kq0091.jpg	1.0000	0.9167	
kq0011.jpg	0.8000	0.7477	
kq0186.jpg	1.0000	0.9809	
kq0009.jpg	0.4000	0.6251	
kq0121.jpg	0.6000	0.7467	
kq0153.jpg	0.6000	0.6190	
kq0112.jpg	1.0000	1.0000	
kq0068.jpg	0.6667	0.7193	
kq0028.jpg	1.0000	1.0000	
kq0194.jpg	1.0000	0.8620	
kq0165.jpg	1.0000	1.0000	
kq0052.jpg	0.6000	0.4654	
kq0016.jpg	1.0000	0.8875	
kq0054.jpg	0.6000	0.8153	
kq0010.jpg	0.8000	0.7517	
kq0138.jpg	0.4000	0.4058	
kq0191.jpg	1.0000	0.9252	
kq0019.jpg	0.6000	0.6985	
kq0130.jpg	0.8000	0.7953	
kq0152.jpg	1.0000	0.8884	
kq0031.jpg	1.0000	1.0000	
kq0066.jpg	1.0000	1.0000	
kq0021.jpg	1.0000	1.0000	
kq0104.jpg	0.6000	0.8103	
kq0139.jpg	1.0000	1.0000	
kq0188.jpg	1.0000	0.9242	
kq0183.jpg	0.8000	0.8497	
kq0140.jpg	1.0000	1.0000	
kq0180.jpg	0.8000	0.8502	
kq0123.jpg	0.8000	0.8126	
kq0080.jpg	0.6000	0.7893	
kq0184.jpg	1.0000	0.8784	
kq0083.jpg	1.0000	0.9173	
kq0084.jpg	1.0000	0.7889	
kq0030.jpg	1.0000	1.0000	
kq0098.jpg	0.6667	0.7576	
kq0014.jpg	0.6667	0.8333	
kq0189.jpg	1.0000	0.9448	
kq0077.jpg	1.0000	0.8248	
kq0135.jpg	1.0000	1.0000	
kq0149.jpg	1.0000	0.9486	
kq0023.jpg	1.0000	0.9762	
kq0018.jpg	0.6000	0.7311	
kq0119.jpg	1.0000	1.0000	
kq0185.jpg	1.0000	0.9220	
kq0032.jpg	1.0000	1.0000	
kq0144.jpg	0.7500	0.8611	
kq0113.jpg	0.6667	0.6806	
kq0067.jpg	1.0000	0.9500	
kq0072.jpg	0.6000	0.6973	
kq0051.jpg	0.4000	0.5341	
kq0107.jpg	1.0000	1.0000	
kq0087.jpg	0.6000	0.4974	
kq0105.jpg	0.8000	0.8100	
kq0147.jpg	0.4000	0.4766	
kq0167.jpg	1.0000	1.0000	
kq0040.jpg	0.8000	0.4350	
kq0027.jpg	1.0000	1.0000	
kq0134.jpg	1.0000	0.7352	
kq0103.jpg	0.5000	0.5970	
kq0006.jpg	1.0000	1.0000	
kq0038.jpg	1.0000	0.9134	
kq0073.jpg	0.8000	0.7694	
kq0181.jpg	1.0000	0.7000	
kq0125.jpg	1.0000	0.9167	
kq0055.jpg	1.0000	1.0000	
kq0046.jpg	0.5000	0.6326	
kq0029.jpg	1.0000	1.0000	
kq0108.jpg	1.0000	1.0000	
kq0111.jpg	0.6667	0.7121	
kq0025.jpg	0.4000	0.6282	
kq0034.jpg	1.0000	0.9167	
kq0177.jpg	1.0000	0.9407	
kq0178.jpg	1.0000	0.9762	
kq0013.jpg	0.8000	0.9667	
kq0203.jpg	0.6667	0.6984	
kq0042.jpg	1.0000	0.8862	
kq0162.jpg	0.6667	0.7222	
kq0170.jpg	1.0000	0.8667	
kq0110.jpg	1.0000	1.0000	
kq0202.jpg	0.6667	0.7222	
kq0176.jpg	0.8000	0.7204	
kq0192.jpg	0.6000	0.6927	
kq0160.jpg	0.7500	0.6679	
kq0161.jpg	0.2500	0.2754	
kq0075.jpg	0.6000	0.3352	
kq0094.jpg	0.8000	0.9151	
kq0053.jpg	0.3333	0.4047	
kq0118.jpg	1.0000	1.0000	
kq0048.jpg	0.8000	0.7862	
kq0120.jpg	0.6000	0.7127	
kq0050.jpg	0.4000	0.3497	
kq0114.jpg	0.6000	0.5816	
kq0132.jpg	1.0000	0.7838	
kq0174.jpg	1.0000	0.9263	
kq0036.jpg	1.0000	0.8921	
kq0133.jpg	0.8000	0.8083	
kq0150.jpg	1.0000	0.8754	
kq0004.jpg	0.7500	0.7582	
kq0078.jpg	0.4000	0.6726	
kq0086.jpg	0.8000	0.6433	
kq0187.jpg	1.0000	0.9640	
kq0169.jpg	1.0000	1.0000	
kq0199.jpg	0.2000	0.1490	
kq0159.jpg	0.6000	0.7059	
kq0151.jpg	1.0000	0.9059	
kq0081.jpg	0.4000	0.3479	
kq0195.jpg	1.0000	0.7848	
kq0137.jpg	0.8000	0.8160	
